stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,42.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,95.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0
  7-9,10.81,0,12.24,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,40.68,15.76,0,0,44.61,0,0,0,0,0,0,0,0
 10-12,0,0,6.48,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,36.52,0,0,0,5.83,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,2.3,0,0,11.04,0,0.81,3.86,0,0,0,0,13.24,0,0,0,0,1.89,0.86,0,0.97,0,1.1,1.19,0,0,0,0,0,0
 24-34,0,0,3.79,5.37,0,0,28.9,0,0,5.05,2,0,0,0,21.01,0.98,0,0,0.64,11.24,0,0,0,0,0,0,0.88,0,0,0,0,0
 36-46,0,0,0.63,0.69,0,0.77,18.84,0,0,0.56,0,0,0,0,5.86,1.36,0,0,0,11.93,0,0,0,0,0,0,0,3.56,0,0,0,0
 48-58,0,0,0,0,0,2.52,8.65,0,2.59,0,0,0,0,0,1.08,3.36,0,0,0,8.31,0,0,0,0,1.59,0,0,0.68,0,1.65,0,0
 60-70,0,0,0,0,0,0.9,13.74,3.44,0,0.58,0,0,2.03,0,12.64,23.73,0,0,0,8.26,0,0,0,0,0,0,11.86,0,0,3.77,0,0
 72-82,0,0,0,0,0,12.38,0.81,3.72,0,0,0,0,7.83,2.58,15.25,39.42,1,0,0,1.08,0,0.75,0,0,0,0,0,2.65,0,4.18,1.16,0
 84-94,0,0,0,3.19,5.53,3.75,8.26,0.61,1.53,2.5,0,3.03,18.47,0,11.01,23.83,2.28,0,0,29.41,0,0,0,0,0,0,0.93,0,0,1.13,0,0
 96-106,0,0,0,1.55,0,6.08,3.64,4.67,0,3.36,0,0,23.21,0,20.86,35.3,2.26,6.99,0,16.32,0,0,0,0,8.92,0,0,0,0,6.62,0,0
108-118,0,0,0,8.28,0,29.19,2.57,0,3.04,4.44,0,0,18.47,0,54.24,57.5,3.93,2.94,0,10.01,0,0,1.09,0,0.6,0,0,0,0.54,7.08,0,3.92
120,0,0,3.17,2.14,0,11.99,8.68,0,0,2.5,0,0,14.87,0,63.8,32.79,0,0,0,66.04,0,0,0,0,0,0,1.87,0,0,10.24,0,0
