stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,37.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.42,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.45,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.66,13.58,0,9.56,20.19,0,0,0,0,0,0,0,0,0,0,0,0,496.89,28.23,0,0,788.55,0,0,0,12.13,10.37,0,18.01,0,0,0,0,0
 14-21,0,1.28,0,631.32,1.16,5.01,0,25.11,0,2.4,10.33,0,0,0,0,12.67,0,29.98,124.01,1.23,0,0,0,0,2.09,0,779.43,1.46,21.07,623.29,45.27,0,0,2.17,0
 24-34,0,0,0,215.01,0,5.6,0,124.13,1.32,2.35,0,0,0,0,0,63.97,0,54.81,149.64,0.8,0,1.08,0,0,0.63,0,1.67,0,0,79.53,81.42,0,0,9.82,0
 36-46,0,0,0,70,0,5.37,0.58,154.73,3.21,16.7,0,1.45,0,0.72,0,139.22,0,24.62,89.06,2.01,0.68,0,0,0,3.67,0,0,0,0,0.83,18.8,0,0,1.7,0
 48-58,0,0,0.43,47.07,0,15.61,0.96,107.95,0.39,16.23,0.49,0.38,0,0,0,99.6,0.4,17.6,73.27,0,0,0.66,0,0,0.69,0,0,0,0,0,21.1,0,0,0.91,0
 60-70,0,0,1.02,27.6,0,20.48,0,92.98,2.93,28.83,0,0,0,0,0,123.49,0,27.55,16.49,0,1.24,0,0,0,10.25,0,0,0,0,0,2.02,0,0,8.53,0
 72-82,0,0,0,18.97,0,31.14,0,39.48,2.1,21.86,0,3.25,0,0,0,173.49,0,13.28,20.83,0,0,0,0,0.71,0,0,0,0,0,0,3.15,1.68,0,0,1.72
 84-94,0,0,0,14.99,0,23.28,0,49.3,0,2.09,0,0,0.78,6.19,0,158.46,0,15.07,19.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0
 96-106,0,0,0,13.96,0,9.71,0,38.51,0,9.21,0,4.1,0.66,4.62,12.88,67.05,0,26.22,20.7,0,0,0.6,0,0,0.61,0,0,0,0,0,1.12,0,0,2.09,6.14
108-118,0,0,0,18.64,0,1.99,0,54.02,2,15.2,0,0,0,2.45,0,108.46,0,17.84,30.1,0,0,1.48,0,0,0,0,0,0,0,0,0.55,0,1.1,0,2.93
120,0,0,0,17.94,0,4.23,0,36.48,0,13.93,0,0,2.25,3.99,0,125.77,0,5.5,7.77,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,1.91,0
