stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,0,0,5.87,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.72,0,0,12.05,0,0,0,46.29,3.12,0,20.06,0,0,0
 14-21,0,0,0.93,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,1.17,0
 24-34,0,0,0,0.73,1.22,0,0,0,0,0,0,0,4.19,0.66,0,0,0,2.93,0
 36-46,0,0,0,0,0,1.44,0,0,0,0,0.61,0,15.53,0,0,0,0,5.78,0.81
 48-58,0,0,0,0,0,3.21,0,0.92,0,0,0.44,0,16.41,0,0,0,0.9,3.01,0
 60-70,0,0,0,0,0,3.83,0,4.25,0,0,1.86,0,10.94,0,1.03,0,0,0.61,1.54
 72-82,0,0,0,0.56,0,3.07,0,0.67,0,0,0,0,0.53,0,0,0,0,0,0
 84-94,0,0.66,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0.7,0.95,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,2.33,0,0
108-118,0,0,0,0,0,0,0,4.01,0,0,0,0,6.98,0,0,0,0,0,0
120,0,0,0,0,19.38,0,2.08,0,0,17.67,0,0,12.16,0,0,0,1.04,0,0
