stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.69,6.39,0.81,6.87,0.87,0,2.28,1,0,0,0,0,0,0.8,4.1,0,0,5.97,35.65,0,0,0.94,0,3.25,2.57,0,4.63,18.33,0,0,0,0,0
 24-34,0,1.32,0,5.64,0,0.68,1.36,0,0,0,0,0,0,0,5.78,0,0,2,66.18,0,3.26,0,0,1.94,0,1.88,0,8.41,0,0,2.49,0,0.86
 36-46,0,0.59,0,8.3,0,0.65,2.79,0,0.6,0,0,0,2.42,0,5.93,0,0,4.16,58.71,0,1.9,0.57,0,10.57,0,0,0,20.37,0,0,1.48,0,0
 48-58,0,0.38,0,5.23,0,0.78,1.12,0,0.4,0,0,0,0,7.41,9.89,0.39,0,0,62.55,0,2.15,0,0.53,1.41,0,0,0,8.96,0,0,3.24,0,0
 60-70,0,4.32,2.21,22,0.9,0.71,6.51,1.88,0,0,0,0,0,0,22.1,0,0,0.6,40.88,0,0,0,0,7.85,0,0,0,6.66,0,0,0.58,1.13,5.63
 72-82,0,0,0.7,32.54,0,2.24,7.57,0,0,1,0,0.79,0,0,21.62,1.69,0,4.67,37.15,0,5.8,0,0,1.39,0,0,0,3.85,0,0,1.66,0,0
 84-94,0,1.21,3.28,28.89,0,4.47,4.35,0,0,0,0,0,0.83,1.19,5.54,2.02,0.98,0,56.95,0,0.76,2.88,0,6.84,0,0,0,7.45,0,0.64,7.02,0,0
 96-106,0.94,3.39,2.35,16.34,1.53,2.35,7.34,2.39,0,0,0,5.55,0,0,13.32,1.65,2.34,1.09,55.63,0,3.14,0,0,15.31,0,0,0,0.99,0.59,0,0,3.61,0
108-118,0.94,1.31,3.52,27.7,1.72,1.26,10.82,0.63,3.6,2.05,4.89,0.56,0,0.9,11.62,2.75,0,2.95,41.83,1.31,1.22,2.1,1.49,8.06,0,0,0,3.36,0.42,0,6.37,1.22,1.55
120,0,0,24.66,72.26,2.12,0,0,4.66,0,2.14,0,0,0,0,50.42,0,6.62,0,99.17,0,15.28,3.73,0,9.38,0,0,0,0,1.37,0,0,0,0
