stage,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,periderm,visceral_smooth_muscle
  3-4,81.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.73,0,0,6.96,11.74,0,14.18,0,0,0,0,213.99,0,0,32.77,0,0
 10-12,0,5.59,0,0,0,0,0,0,0,0,0,38.47,8.46,0,19.91,0,0
 14-21,0,0.87,0,0.91,0,0,0,1.96,0,0,0,0.88,0,0,0,1.08,0
 24-34,0,0,0,0,0,0,0,6.43,0,0,0.84,4.29,0,0,0,0.94,0
 36-46,0,0,0,0,0,0,0,6.32,0,0,0,2.93,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,9.28,0,0,1.71,1.82,0,0,0,2.21,0
 60-70,0,0,0.9,0,0,0,0,15.44,0,0,1.43,7.51,0,0,0,0,0
 72-82,0,0,1,0,6.69,0.81,0,12.25,0,0,1.38,5.08,0,0,0,2.06,0
 84-94,0,0,0.76,0,0,0,0,16.25,0,0.74,1.53,1.82,2.17,1.18,0,2.43,0
 96-106,0,0,0.6,0,0,0,0,21.89,0,0,0,1.03,0,0,0,9.43,1.67
108-118,0,0,0,0,0,0,0,13.91,2.86,0,0,0.99,0.47,0,0,8.84,0
120,0,0,0,0,0,0,0,17.81,0,17.61,0,11.16,0,0,0,1.23,0
