stage,gut,immune,ionocyte,neural,periderm
 48-58,0,0,0,1.03,0
 60-70,0,1.01,0,0,0
 72-82,0,0.85,1.43,3.45,0
 84-94,0,0.55,4.01,0,0
 96-106,0,11.51,0,5.08,3.91
108-118,0.54,2.91,0,0,0
120,0,9.73,0,0,0
