stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.92,0,0,0,23.1,0,114.63,15.02,0,0,0,0,2.53,4.08,1.78,3.13,0,0,0,0
 24-34,0,0,0.72,4.75,0,1.9,0,8.86,0,0,0.83,0,72.24,0,294.86,30.33,0,0,0.73,3.23,3.47,0,0,2.7,0,0,0,0
 36-46,0,0,0.67,1.93,0.62,10.89,1.04,0,0,0,0,0,182.4,0,169.27,74.09,0,0,0,0,0,0,2.96,7.12,0,0,0,0
 48-58,0,0,0.7,3.86,0,44.23,2.19,0,0,0,0,0,116.15,0,94.62,84.53,0,0,0,0,0,0,0,16.04,0,0,0,0
 60-70,0,0,0,15.74,0,59.48,2.68,0,0,0,0,0,185.91,0,52.18,32.1,0,0.72,3.21,0,0,0,0,5.7,0,0,1.59,0
 72-82,0,0,0,13.28,0,51.21,4.47,0,0,0,0,0,179.25,0,34.39,58.96,0,0,0.99,0,0,0,0,8.85,0,2.15,1.53,0
 84-94,0,0,3.32,10.64,0,46.6,0,0,0,0,0,7.26,147.92,2.72,46.85,26.13,0,0,0,2.35,0,0,0,0,0,0,6.38,0
 96-106,0,0,1.3,20.62,1.09,53.61,3.12,0,0,0,0,2.94,218.22,0.66,35.4,54.08,0.57,0,1.43,0,0,0,0,2.92,1.27,0,30.58,0
108-118,0,0,0.74,19.2,0,54.7,8.57,0,0,1.16,0.95,0.81,294.18,5,21.2,51.42,0.85,0,0.56,0,0,3.5,0,2.92,0,1.53,9.97,5
120,0,0,0,6.47,0,64.98,0,0,0,0,0,0,276.2,2.58,41.36,73.19,0,0,0,0,0,0,0,0,0,0,43.68,0
