stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,44.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.96,32.84,8.26,0,23.1,0,0,0,22.93,4.6,27.14,0,0,2.67,0,0,0,0,23.15,0,0,32.31,361.66,12.44,1.57,0,13.72,0,4.25,64.91,8.73,3.27,16.5,223.7,0,3.61,0,0
 24-34,0,0,16.69,0,0,61.09,0,0,0,12.41,0,2.87,1.85,0,1.31,0,0,2.61,0,36.31,1.84,0,16.68,271.43,0,2.5,2.71,0,0,1.49,0,0,0,2.22,99,0,7.43,0,5.23
 36-46,0,0,2.05,0,0,132.57,0,0,1.45,11.63,0,1.26,0,0,0,0,0,16.36,0,30.42,0,0,11.96,190.22,0.68,4.24,12.15,0,0,9.55,0,3.52,0,0,73.04,1.37,0.87,0,0
 48-58,0,0,4.78,0,0,136.7,0,11.31,0,20.46,0.38,2.04,0.48,0,0,2.21,0,0,0,26.05,0,0,8.35,94.52,4.72,2.12,0.8,0,0,8.94,0,0,0,0,39.14,0,2.86,0,0.58
 60-70,0,0,6.91,0,0,133.12,0,0,0.85,38.07,0,0.89,0,0.82,0.61,5.9,0,0,0,24.33,0,0,0,97.02,14.84,1.31,0.94,0,0,0.82,0,0,1.84,0,35.69,0,4.18,0.64,0
 72-82,0,0,6.35,0.51,0,56.12,0,3.6,0,53.14,0.64,0,0.5,0,0.53,0.49,1.36,0,3.96,39.92,0,0,2.06,75.56,0.72,6.25,0,0,1.12,1.4,0,0,0.57,0,16.32,1.26,6.82,3.38,0.55
 84-94,0,0,4.38,2.63,0,25.47,0,0,0.71,21.98,0,1.52,0,0.65,0,0,0,0,0.72,25.91,0,0,6.05,33.41,2.74,2.74,0.99,0,0,7.29,0,0,0,0,9.24,0.74,2.6,0.78,0
 96-106,0,0,0,1.68,0,50.77,0,1.02,2.15,25.27,0,1.32,0,1.92,0,2.89,0.65,0,0,37.6,0,4.14,2.07,51.61,0.6,3.43,2.85,0,1.04,0.56,0,0,0,0,11.9,0,2.6,1.22,1.26
108-118,0,0,2.65,3.04,0,42.09,0.58,2.26,0.73,31.8,3.03,0,0,0,0.42,1.16,0,0,0.68,39.33,0,3.75,4.64,89.9,0.43,9.77,0,0,0,0.46,0,3.07,0.41,0,6.75,0,8.75,0.77,6.28
120,0,0,21.99,0,1.61,38.37,0,10.09,2.12,19.18,1.52,0,1.61,0,0,0,0,0,0,13.99,0,0,19.73,70.65,10.52,23.17,1.28,0,0,3.37,0,0,0,0,4.35,0,3.19,0,0
