stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,30.83,35.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.18,30.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0
  7-9,10.46,10.77,0,0,0,0,0,0,0,3.8,0,0,0,0,0,51.78,0,0,0,12.76,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.23,0,0,5.22,0,0,0,4.26,0,0,0,0,0,47.34,17.92,0,0,4.47,0,0,0,10.14,0,0,0,0,0
 14-21,0,0,0,4.18,0,0.87,0,1.6,0,0,0,0,0.93,0,1.51,13.69,0,0,0,0.85,0,0.95,5.41,0,1.38,4.19,5.45,0,1
 24-34,0,0,0,0,0,1.8,0,0,0,0,0,0,0.67,0,0,9.04,0,0,0,0,0,1.44,0,0,0,1.43,3.74,0,0
 36-46,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.06,0.7,1.07,0,0,0,0,1.19,0,0.59,4.96,0,0,0,0,0,1.96,0,0,0,0,1.54,0,0.51
 60-70,0,0,0,0,0,0.71,0,1.03,0,0,0,0,0.81,0,0,3.5,0,0,0,0,0,1.86,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,9.73,0,0.58,0,0,1.13,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0,3.64,0,0
 84-94,0,0,0,0,0.74,11.04,0,0,0,0,0.59,0,3.71,0,0,0,0,2.07,0,0,0,0.85,0,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,20.94,0,1.86,0,0,1.03,0,2.03,0,0,8.69,0.8,0,1.18,0,4.36,1.61,0,0,0,0,0,1.01,0.71
108-118,0,0,0,0,0,12.12,0,2.14,0.52,0,2.08,1.58,2.93,1.71,0,6.19,0,0,0,0,0,1.01,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,6.85,0,0,0,0,0,9.04,0,0,0,0,0,0,0
