stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,0,1.1,41.42,15.68,8.5,0,0,0,5.37,0,0,0,0.86,0,0,0,1.18,8.59,0,7.66,214.59,4.46,3.92,14.21,7.66,20.05,23.29,0,14.66,53.54,0,0,0.96,0,7.24
 24-34,0,0,2.72,10.76,4.68,184.83,0,0,0.74,11.28,1.69,0,1.69,0.64,0.99,1.92,3.58,0,99.33,0,17.44,1095.96,0,7.34,8.33,0,15.89,0,0,3.11,246.49,0,0,8.49,0,0
 36-46,0,0,0,14.28,1.93,269.13,0,1.12,14.67,17.6,0,0.73,0,0,0,0,0.74,0,47.19,0,12.34,608.31,0,4.37,10.22,0,9.07,0,0,0,133.86,0,0,4.65,0,0.98
 48-58,0,0,0,7.33,1.97,384.34,0,0,0.58,17.65,2.06,0.53,5.07,5.67,3.3,0.41,0,0,51.31,2.94,11.51,544.16,0,0,0.4,0,3.61,0,0,0,38.14,0,0,0.61,0,0
 60-70,0,0,0,12.43,2.38,291.26,0,0.96,0.72,13.92,1.57,0,0,10.84,0,2.86,0,0,67.81,6.59,9.59,297.43,3.78,1.19,0.67,0,1.17,0,0,0,30.76,0,0,3.7,0,0
 72-82,0,0.53,0,7.04,0,104.59,0,0,1.18,7.54,1.18,0,0,0,0,0.61,8.58,0,31.01,1.5,4.14,139.83,0,4.52,0,0,0,0,0,0,4.26,0,0.5,2.1,0,0
 84-94,0,0,0,7.18,0.56,121.2,0,0,1.17,16.79,0,0,0,0.93,0,0,0,0,35.21,5.23,2.9,102.4,0,2.63,3.61,0,4.86,0,1.21,0,11.67,1.73,0,7.31,0,0
 96-106,0,0,0,3.95,0,74.84,0.57,0,0,4.84,0,0,0.59,0,0,0,0,0,23.3,0.79,0,68.85,0,0.68,2.43,0,0.65,0,0,0,2,0,0,0.71,2.29,0
108-118,0,0,0,1.1,1.85,65.44,0,0,0,16.03,0,0,1.77,2.63,0,1.39,0,0,8.79,0.71,3.6,101.78,0,0,0.72,0,0.76,0,0,0,2.38,1.03,2.44,5.63,0,0
120,0,0,2.55,15.34,11.9,144.84,0,0,0,27.1,1.24,0,3.44,1.1,0,0,0,0,61.74,0,1.86,264.44,0,0,2.55,0,10.12,0,0,0,0,0,1.54,6.22,0,0
