stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,mucous,neural,spinal_cord,vasculature
  5-6,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.2,0,0
 14-21,0,0,0.98,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.67,0,1.09,0,0,4.51,0,0
 36-46,0,0,0,0,0,0,0,0,4.87,0,0
 48-58,0,1.32,0,1.22,0,0,0,0,18.57,0.95,0
 60-70,0,0,0,2.2,0,0,0,1.53,1.06,3.49,0
 72-82,0,0,0,1.65,0,0,0,0,5.99,0,0
 84-94,0,0,0,0,0,0,0,0,0,5.86,2.04
 96-106,0,0,0,0,0.84,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.81,0,0,0,0
120,0,0,0,0,0,0,0,0,5.39,0,0
