stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,12.98,166.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0
  5-6,14.12,143.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,0,0,0,6.15,0,0,0,0,0,0
  7-9,0,4.71,13.52,0,0,0,0,0,0,0,0,15.56,0,0,0,0,0,0,0,79.44,0,0,0,30.53,0,3.31,0,0,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.09,9.79,0,0,3.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,0,0,7.17,0,0,2.11,1.01,0,0
 24-34,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,5.82,0,0,0,6.28,0,0,0,0.73,0,0
 36-46,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0.74,0,0,4.33,0,0,0,0,0,0.83,0,0,0,2.88,0,0
 48-58,0,0,0,0.73,0,11.29,0,0,0,2.72,0,0,0,0,0,0,0.73,0,0,15.21,0,0,0,0,0.56,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,171.45,0,0,0,2.06,0.64,0,1.17,0,0,0,0,0,0,18.36,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.52,5.75,724.69,0,1.51,0.91,1.62,0,0,0,0,0.52,0,10.09,0,0,32.92,0,1.09,0,0,0,2.71,0,0,0,0.64,0,0
 84-94,0,0,0,1.4,2.29,834.69,0,0,0,0,0,0,0,0,0,0,1.21,0.61,0.91,28.21,0,0,0,0,0,4.43,0,0,0,0,1.35,0
 96-106,0,0,0,5.19,10.04,1088.58,3.44,0,0,4.39,0,0,0,0.77,0,1.8,15.89,0,0,30.9,0,0,0,0,0,3.33,0,0.9,0,0,5.6,10.4
108-118,0,0,0,2.68,0,1092.08,0,0,1.71,9.44,0,0,0,0,0,1.89,7.21,0,0,29.8,0,0.42,0.43,0,0,6.97,0,0,0,0,0,0
120,0,0,0,10.33,2.06,1635.8,0,5.5,0,25.16,0,0,0,1.06,0,0,12.68,0,3.33,77.74,0,1.48,0,0,4.22,0,1.02,0,0,0,0,0
