stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,17.01,638.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.22,699.19,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,9.07,0,0,0,0
  7-9,4.07,0,0,0,0,0,0,4.9,0,0,0,0,0,72.64,9.1,32.11,0,0,0,0,0
 10-12,0,0,7.11,0,0,20.27,0,0,0,0,0,0,0,48.27,0,27.87,0,0,0,5.09,0
 14-21,0,0,1.1,0,0,0.99,1.33,0,0.81,0,1.07,1.44,0.81,28.92,0,1.18,0,0.84,11.2,8.57,0
 24-34,0,0,0,1.84,0.81,4.32,0.93,0,0,0,0,2.62,0,17.87,0,0,0,0,0,4.15,0
 36-46,0,0,0,7.59,0,1.16,0,0,0,0,0,1.56,0,6.14,0,0,0,0,0,2.4,0.66
 48-58,0,0,0,3.4,0,1.06,0,0,0,0,0,0.6,0,15.49,0,0,0.93,0,0,0.57,0
 60-70,0,0,0,3.17,0,4.59,0.83,0,0,0,0,3.94,0.74,0.8,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.15,1.3,0,0,0,0,0.95,0,7.62,0,0,0,0,0,0,0
 84-94,0,0,0,2.73,0,2.79,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0
 96-106,0,0,0,4.01,0,5.19,0,0,0,0,0,3.52,0,3.09,0,0,0,0,0,0,0
108-118,0,0,0,8.12,0,0.45,0,0,0,1.13,0,0,0,10.26,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03,0,0,0,0,0,0,0
