stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature
  3-4,9.67,35.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.57,0,0,0,0,0,0,6.34,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,10.06,0,0,0,0.84,0.66,0,0,0
 36-46,0,0,17.26,0,0.73,0,0,0,0,6.34,0,28.04,0,0,0,0.58,0,0,0,3.15
 48-58,0,0,8.69,0,0.48,0,1.48,0,0,9.33,0,11.81,0,3.66,0,4.24,0,3.26,0,0
 60-70,0,0,0,0,13.64,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.81,0,0,0,0,0,0,3.53,0,0,0,1.7,0,0,0,0
 84-94,0,0,0,0,12,5.49,0,0,0,0,0,24.8,0,0,0.99,0,0,0,0,0
 96-106,0,0,14.85,0,14.47,0,0,2,0.58,0,0,0,0,0,3.93,0,0,0,0,0
108-118,0,0,21.73,0.47,14.01,0,0,0,0,0,1.14,9.98,0,0,0.42,0,0,0,0.68,0
120,0,0,0,0,0,0,0,0,0,0,0,67.07,0,0,3.11,0,0,0,0,0
