stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.19,1109.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.92,0,0,0,0,0,0,0,0,0,0
  5-6,29.19,416.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.18,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,118.39,14.11,0,0,31.41,0,3.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.78,0,69.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.24,17.82,0,0,37.25,0,7.35,9.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,8.73,5.13,3.03,0,8.7,0,0,0,7.23,22.3,0,0,0,0.97,6.7,0,0,4.87,2.96,0,0,4.73,107.12,2.59,5.43,1.8,0.99,0,117.05,3.89,2,0.89,5.98,139.57,0,0,0,0,2.15
 24-34,0,0,8.06,4.1,4.78,0,0,19.25,0,1.47,0,6.21,0.67,0,1.67,0,0,4.17,0,3.48,15.79,28.54,0.76,0,4.74,819.66,0,28.06,11.29,0,0,200.57,0,0,0.87,1.34,266.95,0,0,4.65,0,24.4
 36-46,0,0,3.89,0,7.76,4.5,0,64.01,0.68,0,0,31.14,0,0,4.65,0,0,1.21,0.57,1.37,46.91,42.14,0,2.04,13.44,2560.09,0,28.38,14.72,0,0,198.98,0,0,0,0,502.26,0,0,13.2,0,60.75
 48-58,0,0,1.36,0.4,15.64,2.7,0,264.67,1.86,2.24,13.1,67.35,4.59,0,7.36,0,0,11.16,0.5,7.04,25.08,82.94,0,9,10.53,3352.11,4.6,12.07,7.64,0,0,81.76,0,0,1.93,0,613.35,0,2.28,4.99,0,100.53
 60-70,0,0,1.22,1.19,23.63,0,0,428.31,2.91,16.22,0.98,44.67,0.72,0,3.81,0,7,3.31,0,8.15,10.18,120.42,0,6.4,18.98,3439.55,0,9.17,19.22,0,0,45.68,0,0,0,0,446.61,0,3.16,4.96,0,110.54
 72-82,0,0,12.7,3.53,14.56,0,0,314.01,5.37,1.64,8.8,92.68,10.53,0,0,0,0.61,25.07,0.81,3.92,14.55,158.94,0,2.96,4.25,2455.8,0,1.41,21.69,0,2.19,34.44,0,0,0,0,287.16,2.57,7.09,13.98,6.24,46.48
 84-94,0,0,18.32,3.71,21.02,7.24,0,299.1,0.6,11.75,0.74,81.56,15.54,0,4.88,1.2,0,22.78,2.57,12.44,26.22,155.25,0,9.65,10.49,1650.83,5.19,5.07,19.53,0,0.57,69.95,0,0,0.95,0,180.68,0,4.94,10.33,4.26,42.62
 96-106,0,0,14.57,1.19,31.4,2.54,0,267.91,0.86,2.26,1.69,95.16,27.42,0,4.5,1.12,2.47,11.19,0,46.15,8.48,145.97,1.17,3.94,6.96,1348.36,0,2.82,24.74,0,3.13,89.16,2.06,0,0.7,0,82.44,0,10,15.16,0.61,84.08
108-118,0,0,10.8,8.44,38.02,3.81,1.8,263.55,0,1.84,0.59,74.08,34.7,0,0,3.44,0,23.84,1.1,26.64,19.37,158.19,1.97,12.1,4.74,1588.15,0,2.29,39.46,0,3.3,63.16,0,0,0,0,21.84,2.58,3.21,18.27,2.91,71.66
120,0,0,20.52,0,45.39,0,2.68,413.9,0,4.9,0,110.65,49.92,0,4.01,4.1,1.65,11.89,0,33.99,11.11,126.14,0,30.77,12.98,1990.38,0,1.48,18.66,0,14.47,63.77,0,0,0,0,58.26,9.15,9.51,15.92,3.93,14.69
