stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.82,0,0,0,0,0,0,0,0,0,0,0,0,18.59,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.39,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.43,2.99,0,0,0,0,0,0,0,0,1.8,0,0,0.81,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,1.03,0.87,6.51,0,0,0,0,0
 24-34,0,0,0,3.36,0,0,0,0,0,0,0,0,3.7,0,0,0,10.4,0,0,5.19,0,0,3.95,0,0.99,2.54,0,0,0,0,0,0,1.39,0,0,2.57,0,0,1.8,0,0
 36-46,0,0,0.77,0.56,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0,0,19.78,0,0.85,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0.71,0,0,0,0,0
 48-58,0,0,0.59,0,0,0,0,0.63,0,0,0,1.18,1.54,0,0,0,5.05,0,0,0,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,56.54,0,0.83,0,1.34,0,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.32,0,6.57,25.76,0,43.15,0,0,0,13.23,0,0,0,1.3,4.05,0.72,0,1173.9,0,28.22,2.37,0,1.96,130.91,0,0,0.79,2.41,0,0,0.64,0,0,11.17,0.97,0,5.41,0,4.89
 84-94,0,0,0,0,8.04,10.73,2.97,63.34,0,0,1.27,15.75,3.74,0,0,1.87,3.43,0,0.67,4698.28,0,32.8,0,0,2.04,213.33,0,0,0,0,8.61,0,0,0,0,6.01,0,0,0.71,2,8.66
 96-106,0,0,3.47,0,53.61,130.76,17.51,429.79,10.32,9.75,13.15,105.21,34.24,0,8.66,28.6,10.64,6.03,7.31,11144.58,0,207.74,14.01,6.21,16.25,1468.26,2.65,9.34,4.45,10.73,122.24,7.21,0,1.48,0,30.91,7.32,3.31,71.83,7.32,16.65
108-118,0,0,2.81,0,49.06,30.71,14.99,400.51,0,13.38,21.22,111,15.31,0,12.11,9.97,8.41,11.3,1.76,28529.1,3.68,231.26,1.18,12.73,21.12,1460.2,5.78,16.18,11.66,8.44,74.74,0,12.24,1.68,0,31.99,12.85,8.39,45.09,4.31,8.48
120,0,0,4.34,0,36.73,8.93,12.88,254.24,2.44,4.24,11.99,87.49,5.3,0,0,10.96,2.13,17.52,10.09,12988.41,0,148.74,0,1.45,1.15,1035.44,6.14,1.29,2,0,24.56,0,0,0,0,23.76,5.28,3.8,5.94,18.93,0
