stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,62.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0
  5-6,70.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0
 14-21,0,3.64,1.1,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.81,0,8.42,0,0,0,0.94,23.65,0,0,0
 24-34,0,0,1.24,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,25.51,0,44.87,17.76,0,0,7.34,0,66.03,0,0,0
 36-46,0,3.09,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.38,0,0.95,18.72,0,35.6,9.18,0,0,0,0,54,0,0,0
 48-58,0,0,0,0,0,0,4.35,0.7,1.38,0,0,0,0,0,0,1.59,0,0,33.85,0,11.18,4.34,0,0,0.41,0,16.06,0,0,0
 60-70,0,0,0,0,0,0,13.55,0,1.25,0,0,3.66,7.23,0,0.72,3.5,0,0,56.88,0,5.86,11.9,0,0,0,0,9.88,0,0,0
 72-82,0,0.53,0,0,0,0,14.45,0,8.18,0.55,0,1.65,1.71,0,0,0.6,0.67,0,34.42,0,12.64,23.12,0,1.97,2.71,0,4.96,0,1.13,0
 84-94,0,0.63,0,0,1.03,0,10.76,0,2.4,0,0.71,0.64,3.94,0,0,1.89,2.87,0,43.58,0,11.81,57.92,0,0,3,0,5.43,1.04,0,5.05
 96-106,0,0,0,4.41,0,0,22.34,0,0.62,0,0,0.95,6.67,3.93,0,0.96,0,0,31.79,0,19.45,31.32,0,0,0,0,18.11,0,0,1.5
108-118,0,1.16,0,0,1.03,0.47,16.3,0,7.44,0,0,3.94,8.18,0,0,1.51,0.76,0,48.69,0,17.35,35.31,0,0,6.3,0,6.57,0,2.32,0
120,0,0,0,5.27,4.16,0,17.12,0,13.56,0,0,0,6.02,0,0,2.58,8.92,0,94.45,0,37.61,75.15,0,0,3.88,0,15.55,0,0,0
