stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,2031.17,3969.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.14,0,0,0,0,0,0
  5-6,3662.54,4107.03,50.17,0,0,0,0,618.5,0,0,0,0,0,0,146.52,83,0,7.68,0,0,0,0,0,0
  7-9,1499.37,34,366.42,0,565.42,0,0,3393.06,0,0,0,0,0,0,4402.9,1438.69,270.7,0,0,0,0,0,0,0
 10-12,0,13.19,96.04,0,912.74,0,0,286.71,0,0,0,0,0,0,2945.93,358.55,33.32,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.64,0,3.08,0,98.02,0,0,4.91,0,4.97,25.33,7.51,0,0,2.1,2.12,18.28,0,2.57,0
 24-34,0,0,0,0,1.82,0,4.11,0,126.78,0.78,0,5.72,0,16.43,23.65,0,0,0,0,0,0,0,1.85,0
 36-46,0,0,0,0,0,0,11.99,0,1.05,0,0,8.91,0,0,10.11,0.6,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.42,0,0,14.75,0,0,0,0,0.49,0,0,3.73,0,0,0,0,0,0.63,0,0,0
 60-70,0,0,0,0,17.13,0,12.35,0,0,0,0,1.74,0,0,3.02,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,13.36,2.28,11.49,0,0,0,0.64,9.66,0,0,3.69,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,17.22,4.33,9.49,0,0,0,0,2.93,0,0,2.37,0,0,7.28,0,0,2.96,0,2.52,0.6
 96-106,0,0,0,0,4.04,54.18,11.42,0,0,0,0,2.18,3.31,0,0.8,0,0,0,0,0,0,0.62,0,2.03
108-118,0,0,0,2.75,7.62,0,17.54,0,0,0,0,2.09,0,0,16.94,0,0,0,0,0,0,0,0,2.79
120,0,0,0,4.23,19.59,0,10.88,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0
