stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,434.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.78,479.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0
  7-9,7.26,0,12.3,0,0,12.55,0,0,0,0,21.89,0,0,0,0,0,0,0,0,0,0,0,238.82,20.46,0,0,118.86,0,7.76,0,0,0,0,0,0,0,0,0
 10-12,0,10.89,21.69,0,4.74,29.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.75,0,0,0,74.7,0,0,4.61,22.82,0,0,3.28,0,0,0,0
 14-21,0,0,1.04,15.68,3.64,3.79,0,0,5.64,1.8,0,0,0,6.71,0,0,0,0,5.44,0,0,4.87,82.08,1.83,1.09,3.77,5.17,8.83,0,19.9,1.22,0,11.09,27.02,0,0,0,0
 24-34,0,0,1.44,1.53,0,14.08,0,0,1.98,0,0,0,0,0,0,0,0,0,25.76,0,0,5.49,146.11,0,1.59,2.47,0,0.72,0,0,0,0,0.77,20.43,0,6.69,0,0
 36-46,0,0,0,3.07,0,16.32,1.3,1.2,0.78,0,0,0,0,0,0,0,0,0,13.61,0,0,2.43,146.68,0,0.63,0.83,0,3.05,0,0,0,2.35,0,43.15,0,1.02,0,1.45
 48-58,0,0,0,0.43,0,51.07,0,0,12.42,0,0,2.23,0,0,0,0,0,0,15.36,0,0,4.67,112.57,3.97,0,0,0,14.92,0,0,0,0,0,16.91,0.51,3.79,0,3.4
 60-70,0,0,0,3.45,0.59,43.82,1.18,2.63,1.58,1.59,0,0,0,0,0,0.77,0,0,18.06,0,0,3.67,84.15,0,0,1.46,0,2.54,0,0,0,0,0,12.18,0,0,0,0
 72-82,0,0,0,3.58,0.55,33.59,0,0.64,13.71,0,0,0,3.84,0,0,5.03,0,0,33,0,1.3,2.92,91.44,0,1.05,0.9,0,0,0,0,0,0,0,27.25,0,0,0,0
 84-94,0,0,0,7.72,0,43.6,0.62,1.78,29.86,0,0,2.32,2.13,0.73,0,0,0,0,34.2,3.28,0,2.51,70.02,0,1.9,0.78,0,8.42,0,0,0,0.63,0,11.21,1.15,8.73,0.6,0
 96-106,0,0,0,5.75,0,20.52,0.98,0.77,4.32,0,0,1.02,1.78,1.39,0,2.85,0,0,22.79,0,0,1.08,64.51,0,0,1,0,7.48,0,0,0,0,0,13.75,4.03,1.31,0,0
108-118,0,0,0,4.07,0,30.78,2.56,0.71,5.27,10,0,0,1.65,0.44,1.44,0,2.29,1.34,26.59,0,0.5,1.49,107.59,0,0,0,0,3.09,0,0,0,0,0,3.24,0,6.58,0,9.92
120,0,0,0,4.36,0,73.45,2.75,4.1,1.31,0,0,0,3.95,0,1.91,0,0,0,46.76,0,0,2.52,131.42,1.45,0,0,0,1.08,0,0,0,0,0,5.91,0,0,0,0
