stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.62,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0
  5-6,0,535.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.49,0,0,0,0,19.7,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.2,0,22.84,0,0,0,38.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.16,22.38,0,0,68.57,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.78,0,13.49,0,0,0,25.74,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,0,0,286.44,0,0,0,47.32,4.24,0,21.96,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,32.75,2.18,0,14.18,0,0,0,0.98,1.05,3.99,0,0,0,0,0,4.33,0,10.42,0,0,12.48,74.99,1.83,0.92,4.89,6.84,10.16,13.75,2.88,4.44,29.88,19.48,0,0,1.18,0,0
 24-34,0,0,0,0,8.71,0,0,6.24,0,0.62,3.01,0.72,1.38,0,0,0,0.77,0,0,2.25,0,8.93,0.91,0,22.66,55.82,1.45,15.36,6.5,0,6.29,0,1.6,1.01,4.25,16.63,0,0,2.95,0,0
 36-46,0,0,0,0.59,3.28,0,0,8.77,0,0,2.26,1.68,0.61,0,0,0,0,0,1.31,8.23,8.19,16.39,0,0,6.14,53.34,0,12.34,5.21,0,11.14,0,5.3,0,0,7.97,0,0,6.24,0,2.83
 48-58,0,0,0,0,11.66,0.99,0,8.58,0,0.56,0.68,2.85,0,0,0,0.85,0.5,0,0,0,0,20.06,0,0.92,1.38,39.94,0,2.67,5,0,3.16,0,0.87,0,0,4.89,0,0,2.38,0,2.17
 60-70,0,0,0,0,9.15,0.64,0,27.99,2,1.76,0,12.28,1.97,0,0,0,0,0,0,0,0,13.63,0,0.95,2.7,30.01,0,2.79,5.95,0,9.39,0,0,0,0,7.52,0,0.9,1.05,0,9.76
 72-82,0,0,0,0,11.61,3.31,0,66.95,0,0.51,1.8,26.02,1.29,0,0,0,1.95,0,1.32,3.73,1.89,16.79,0,3.74,1.18,69.43,0,9.23,13.41,0,6.7,0,0.63,0,0,11.03,1.16,0,4.41,1.65,0
 84-94,0,0,1.77,0,9.01,4.37,0,40.44,0,4.05,2.16,11.73,9.24,0,0,2.2,3.47,2.18,3.39,1.56,0,10.65,0,0.78,1.48,71.78,0,11.89,2.7,0,10.42,0,0,0,0,4.73,2.97,0,2.19,0,1.5
 96-106,0,0,3.26,0,15.76,0,0,30.08,0.67,1.01,1.02,18.26,8.83,0,0,4.68,1.28,0,0.86,0,0.98,30.16,2.18,0,8.56,46.25,0,8.4,5.52,0,5.61,0,1.75,0,0,0,2.27,0,3.13,2.56,1.52
108-118,0,0,3.17,0,13.15,4.23,0,19.35,0,0.7,2.56,17.86,8.88,0,0.59,0.6,0.64,7.04,0.41,1.22,5.3,18.63,0.8,3.14,1.75,56.63,0,15.96,8.5,0,5.42,0,0,0.5,0,2.83,2.29,0.84,0,1.02,2
120,0,0,0,0,7.27,0,1.6,24.64,0,0,3.64,25.57,21.73,0,0,13.26,0,3.28,3.21,0,0,7.91,0,0,0,47.21,0,1.09,8.31,0,6.08,0,0,1.21,0,34.6,0,0,0,7.27,0
