stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,ionocyte,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,27.43,133.73,0,0,0,0,0,0,180.06,0,0,0
  5-6,0,6.71,0,0,0,0,0,0,171.46,0,0,0
  7-9,0,12,4.02,0,0,0,10.27,0,6.57,0,0,0
 10-12,0,0,14.45,0,0,0,0,5.22,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.94
 48-58,0,0,0,0,0,0,0,0,0.47,0,0,0
 96-106,0,0,0,0.99,0,0,0,0,2.28,0,1.79,0
108-118,0,0,0,0,1.13,0,0.79,0,6.11,0,0,0
120,0,0,0,3.29,0,2.21,0,0,5.1,0,0,0
