stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,21.95,468.05,0,0,0,0,0,0,0,0,0,0,0,0,34.74,0,0,0
  5-6,13.89,288.82,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0
  7-9,0,0,0,0,10.79,0,0,0,0,0,9.07,0,0,5.39,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.35,2.59,0,0,0,0,0,0,0.98
 24-34,0,0,0,0,0,0,0,0.65,0.96,1.68,3.59,0,1.16,0,0,0,0,0.67
 36-46,0,0,0,0,0,0,0,0,0,0,22.26,0,0.8,0,0,0.92,0,0
 48-58,0,0,0,0,1.97,0,0.41,0,0.54,0,11.55,0,0,0,0,0,0,0
 60-70,0,0,1.15,0,0,0,0,0,0,1.16,11.08,0,7.71,0,3.54,0,0,0
 72-82,0,0,0.77,8.65,10.91,1.74,0,0,0,2.07,10.92,1.81,11.4,0,0,0,0,0
 84-94,0,0,0,0,1.82,2.68,0,0,2.5,0,6.2,1.84,11.86,0,0.61,0,0,0
 96-106,0,0,0,0,8.07,0,0,0,0.58,0.99,4.87,0,13.65,0,4.79,0,0,0
108-118,0,0,0,0,5.64,0,0,1.39,0.63,0,2.25,0,4.69,0,0.47,0,1.29,0
120,0,0,0,0,14.71,0,0,0,3.66,3.02,16.84,0,19.19,0,1.28,0,0,0
