stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,15.3,0,0,7.8,0,0,0,0,0,0,0
 10-12,3.32,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,38.79,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0
 24-34,0,0,0,0,0,1.94,0,0,0.63,0,0,0,0,1.41,0,3.88,0,0,0,95.56,0,1.62,1.04,0,0,0,0,0,33.73,0,0,2.68,0,0
 36-46,0,0,0.63,1.18,0,0.81,0,0,4.6,0,0,0,0,0,0,1.42,1.01,0,0.83,287.93,0,0,0,0,0,0,0,0,49.23,0,0,0,0,0
 48-58,0,0,0,0,0,23.58,0,0,1.93,0,0,0,0,1.77,0,0.5,0,0,0,434.96,0,4.88,0,0,0.39,0.38,0,0,61.3,0,0,0,0,0
 60-70,0,0,0.71,0,0,66.75,2.42,0.62,1.56,0,0,0,0,0,9.72,6.93,0,0,0,875.29,0,0.74,0,0,1.22,0,0,1.17,71.99,0,0,0.64,0,3.54
 72-82,0,0,6.84,0,0,151.67,0,0,14.34,0,0,0,0,0,0,11.83,0,2.91,1.72,1121.03,0,1.32,0.56,0,0,2.7,0,0,71.41,0,0.81,1.04,0.65,0
 84-94,0,0,1.76,17.37,0,141.87,0.57,0,6.5,3.46,1.69,0,0,0,0,15.39,0,0,0,758.54,0,0,1.77,0,3.87,4.62,0,0,56.27,0,0,0,1.36,0
 96-106,0,1.36,2.84,0,0,72.34,0,0,13.83,0,0,0.85,0,0.7,0,11.13,0.77,0,1.26,686.82,0,1.65,0,0,0,7.27,0,0,25.92,0,0,5.39,2.17,0
108-118,0,0,9.9,0.61,0.5,86.56,0.54,0,12.08,0,0.55,0.85,1.05,0,0,9.47,0,0,0,1038.81,0,1.19,0,0,0,0,0,0,19.3,1.56,0,0,0,0
120,0,0,2.78,0,0,84.76,0,10.08,19.13,0,0,0,0,0,0,33.48,0,0,0,1621.66,2.42,0,0,0,0,1.57,0,0,53.75,0,0,0,0,0
