stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.35,349.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0
  5-6,19.81,490.08,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,42.69,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.35,13.98,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,72.72,0,0,0,31.48,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,64.64,0,0,0,8.11,0,0,10.53,0,0,0,0,0
 14-21,0,0,0,2.77,1.65,0,0,0,1.01,0,0,0,0,0,0,0.83,0,2.13,43.59,2.15,0,0.93,1.07,0,7.94,0,7.56,5.34,0,0,0
 24-34,0,0,0,0,0,6.19,3.01,0,0.63,0,0,0,0,0,0.65,2.5,0,1.92,42.95,0,1.67,0,0,4.92,0,0,1.12,10.11,0,0,0
 36-46,0,0,0,0,0,3.72,0,0,1.21,0,0,0,0,0,0,5.86,0,0,27.56,0,0,0,0,12.96,0,0,0,8.4,0,0,0
 48-58,0,0,0,0,0,1.75,0,0,1.77,0,0,0,0,2.61,0,2.12,0,0.39,5.26,0,0,0,0,0,0,0,0,1.35,0,0,3.26
 60-70,0,0,0,0.71,0,17.36,0,2.29,1.05,0,0,0,0,0,0,4.28,0,2.16,10.13,0,0,0,0,0,0,0.83,0,0.85,1.15,0,0
 72-82,0,0,0,0.57,0,2.43,0,0,0,0,0,0,0,0,0,3.09,0.94,0,3.11,0,0,0,0,0,0,0,0,3.01,0,0,0
 84-94,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,6.72,1.93,0,1.73,0,0.8,0,0,0,0,0,0,0,1.19,1.66,0
 96-106,0,0,0.95,0,0,0,0,0,0.59,0,0,0,0.72,0,0,10.77,0,0.57,3.46,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.86,0,0,0,0,7.33,0,0,1.73,0,0,0,4,0,0.68,15.48,0,0,0,0,0,0,0,0,0,0.62,0,0
120,0,0,0,2.09,0,1.31,0,0,1.78,1.31,0,4.65,0,0,0,4.89,0,0,4.95,0,0,12.47,0,1.12,0,0,0,0,0,0,0
