stage,endoderm,eye,neural,paraxial_mesoderm,spinal_cord
  7-9,3.84,0,0,3.32,0
 24-34,0,0,11.69,0,0
 36-46,0,0,1.79,0,1.02
 48-58,0,0,4.06,0,2.08
 60-70,0,0,11.74,0,1.88
 72-82,0,0.99,7.68,0,0
 84-94,0,0,3.49,0,0
108-118,0,0,3.05,0,0
