stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,gut,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,18.89,93.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.19,116.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,4.3,0,0,0,0,0,0,0,105.91,5.37,0,0,22.78,0,0,0,0,0,0,0
 10-12,0,0,0,9.48,0,0,0,3.58,0,0,0,0,0,0,0,56.73,0,0,0,26.87,0,0,4.8,0,0,0,0
 14-21,0,0,0,0,2.24,1.94,0,0.92,0,0,0,0,0,0,2.24,6.6,0,0,0.99,0,0,6.98,0,0.95,1.7,0.81,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.97,0,3.36,0,0,0.98,0,2.7,0,0,0,0,0.65,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0.73,0,3.5,0,0,0.8,0,2.15,0,0,0,0,0.63,0.78
 48-58,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0.42,0,4.94,0,0,0,0,0,0,0,0,0,0,2.49
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,1.71,0,0,0,0,0,0
 72-82,0,0,0.93,0,0,0,0,2.51,0,0,0,0,0,0,0,3.73,0,0,0,0,2.13,0,0,0,0,0,0
 84-94,0,0,0,0,1.46,0,0,0.92,0,0,0.56,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0,3.71,1.8
 96-106,0,0,0,0,1.37,0,0,7.66,0.61,0,1.63,3.88,0.77,3.21,0,0.96,0,0.7,1.76,0,7.21,0,0,0,0,0,0
108-118,0,0,1.77,0,2.36,0,3.22,8.52,2.81,1.57,0,0,0,0,0,0,0.45,0.87,0.98,0,3.07,0,0,0,0,0,0
120,0,0,0,0,3.03,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0
