stage,eye,neural,periderm,vasculature
 24-34,0,0,0.76,0
 36-46,0.57,1.79,0,0.99
 48-58,0.62,0,0.4,0
 96-106,0,0,1.25,4.39
108-118,0,1.72,0.61,0
120,0,0,2.72,0
