stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,14.67,0,0,0,1.18,0,2487.4,0,0,0,896.04,0,81.1,89.83,0,0,589.66,0,0,177.26,0,5.98,6.14,0,1.82,0,0
 24-34,0.81,10.45,2.2,0,0,0,1452.57,6.28,0,1.38,150,0,169.75,39.88,0,0,0,0,2.89,0,0.88,0,5.26,0,0,0,2.7
 36-46,0,0,1.17,0,0,0,1466.96,0,0,0,121.23,0.98,5.69,13.09,0.81,0,16.41,0,0,151.53,0,0,1.2,0,0,0,0
 48-58,0,0,8.72,0,5.42,0,507.46,0,5.25,1.54,24.29,0.6,12.57,82.52,0,0,0,0,2.62,0,0,0,4.33,43.69,0,0,0
 60-70,0.63,0,5.22,0,0,0,544.17,0,0,0,1.07,0,0,43.7,0,0,0,3.74,0,0,0,0,3.12,0,0.73,0,0
 72-82,3.37,0,9.07,0,1.4,0,148.18,0,0,0,0.9,0,0,7.7,1.44,0,0,0,0,0,0,0,6.37,0,0,0,0
 84-94,1,0,1.91,0,0,0,470.21,0,0,0,2.57,0,0,14.79,0,0,0,0,3.83,0,0,0,0,56.43,0.59,0,0
 96-106,2.63,8.98,13.28,0,3.06,26.25,977.5,0,0,34.76,11.53,0,0,39.08,0,0.74,0,0,26.73,0,0,0,1.56,0,0,1.26,0
108-118,2.17,15.09,15.59,0,3.08,0,804.29,0,2.62,1.32,1.89,0,0.45,23.61,0.55,0,0,0,4.83,0,0,0,0,0,0,0,1.2
120,53.16,0,26.67,5.5,0,0,331.17,0,0,0,1.23,0,0,28.18,0,0,0,0,1.17,0,0,0,0,3.52,0,0,0
