stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,gut,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites
  3-4,15.07,231.02,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,125.95,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,33.21,6.87,0,0,29.64,8.28,0,0
 10-12,0,0,0,0,3.68,0,0,68.55,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,0,0,0,0.86,0,0,0,0,0,0.9,0.81
 24-34,0,0,0,2.08,0,0,0,3.14,0,0,0,0,7.84,0,0
 36-46,0,0,0,2.17,0,0,0,12.57,0,0,0,0,2.07,0,0
 48-58,0,0,0,0,0,0,1.21,3.73,0,2.17,0,0,8.74,0,0
 60-70,0,0,0,0,0.58,0,1.75,0,0,0,0,0,0,0,0
 72-82,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.01,0.88,0,0,0,0,0.63,0,1.1,0,0
 96-106,0,0,0,2.08,0,0,0,0,0,0,0,0,4.55,0,0
108-118,0,0,0,0,0,0,0,1.91,0,0.57,0.69,0,0.94,0,0
120,0,0,0,3.29,0,0,0,0,0,0,0,0,3.4,0,0
