stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.77,0,0,0,0,0,0,0,0,0
 14-21,0,1.75,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.37,5.17,0,0.92,0,1.55,0.99,12.54,0,0,6.29,0,0
 24-34,0,0,1.27,0.65,0,0.6,0,0,0,0,0,0,0,2.44,0.86,0,4.5,146.76,56.89,0,0,0,0,1.72,57.12,0,0,16.42,0,0
 36-46,0,0,0,9.66,0,0,0.78,11.58,0,0,0,0,0,0.56,0,0,1.1,373.41,57.86,0,0,7.3,0,0,80.17,0,0,3.87,0,0
 48-58,0,0.43,0,31.25,0,0,0.65,2.56,0,0,0,0,0,6.67,0,0,0.38,481.9,27.79,0,0,0,0,0,67.09,0,0,1.92,0,0
 60-70,0,0,0,34.93,0,0,0,9.32,0.85,4.48,0,0,0,7.95,0,6.11,0,696.58,37.09,0,0,0,0,0,60.96,0,0.73,2.73,0,0
 72-82,0,0.98,5.51,37.98,1.1,0,0.9,10.04,0.56,0,0,0,0.62,16.38,0,0,0,456.52,25.98,1.28,0,0,0,0,17.11,0,0,8.81,2.01,0
 84-94,0,4.03,0,52.59,0,0,0,18.61,0,0,2.12,0,0,6.37,0,1.19,0,337.77,32.2,1.12,0,0,0,0,25.13,0,0,3.35,0.68,0
 96-106,0,0.6,0,32.22,0,1.03,0,6.45,0,0,0,0.96,8.31,7.12,0,0,0,224.81,32.27,0.62,0,0,0,0,7.88,0,0,0,1.23,10.23
108-118,0,2.56,0,38.08,0,0,0,10.62,0,0,0,0,0,8.71,0.53,0,0,324.45,12.8,0,0,0,0,0,2.27,0.67,0,3.57,0.68,0
120,0,0,4.33,55.56,0,0,0,22.34,0,0,0,0,0,2.9,0,1.45,0,441.34,38.93,0,0,1.89,0,0,5.94,0,0,3.73,0,0
