stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,pronephros,vasculature,xanthophores
 14-21,0,0,0.9,0,0,0,0,0,0,0
 24-34,1.1,0,0,0,3.38,0,0,0,0,0
 36-46,0,0,0,0,1.65,0,0,0,0,0
 48-58,0,0,0,0.81,5.69,0.74,0.88,0,0,0.85
 60-70,0,1.28,0,0,8.77,0,0,0,0,0
 72-82,0,0,0,0,9.87,1.18,2.3,0,3.8,0
 84-94,0,0,0,0,17.55,0,0,0,0.69,0
 96-106,0,8.78,0,0,33.83,4.45,0,0,1.31,0
108-118,0,0,0,0,22.06,0.93,1.42,0,5.3,0
120,0,0,0,0,24.7,0,0,4.58,1.1,0
