stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,spinal_cord,taste,vasculature
  5-6,8.71,19.59,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.89,0,0,0
 10-12,0,0,0,0,0,0,27.04,0,0,0,0,0,0
 24-34,0,0,0,1.44,0,0,3.52,0,0,0,0,0,0.79
 36-46,0,0,0,0,0,0,1.07,0.76,0,0,0,0,0
 48-58,0,0,0,0,0,1.13,4.7,0,0,0,0,0,0
 60-70,0,0,0,0,3.91,0,2.2,0,0,0,0.94,0,0
 72-82,0,0,0,0,0,0.86,0,0,0,0,0,0,0
 84-94,0,0,0.57,1.37,1.93,1.45,3.61,0,0,0,0,1.37,0
 96-106,0,0,5.42,0,0,0,0,0,0.93,0,0,0,0
