stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,lateral_line,mesenchyme,mucous,mural_cell,neural,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,21.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.12,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,6.74,1.04,0.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.8,2.74,0,1.86,0.81,0
 36-46,0,0,0,5.98,0,0,0,0,0,1.57,3.53,0,3.7,0,0
 48-58,0,0,0,2.12,0,0.41,0,0,0,2.47,1.18,0,0,0,0
 60-70,0,0,0,2.63,1.47,0,0,0,0,0,0,0,1.69,0,0
 72-82,0,0,0,0,0,0,1.66,0.61,1.43,1.03,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0
 96-106,0,0,0.6,0,0,0,0,0,0,0,4.58,0,0,0,1.22
108-118,0,0.45,6.51,0,0,0,0,0,0,0,1.1,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,2.31
