stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.43,753.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.32,591.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.12,10.3,0,3.38,0,0,0,25.69,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,165.62,22.81,0,0,10.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.62,0,3.04,0,22.52,0,45.21,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,434.92,14.24,0,0,121.66,0,0,0,0,15.37,0,0,0,0,0,0,0
 14-21,0,0,0,5.01,8.93,5.15,0,53.22,0,0,0,5.56,1.01,0,0,0,0,0,0,0,0.86,76.19,0,0,58.5,496.18,70.9,0,8.24,1,0,0,2.24,18.08,1.08,3.8,46.54,271.57,0,0,0,0
 24-34,0,0,0,1.83,13.55,0,0,148.19,0,2.52,5.79,31.06,0,0,0,0,0,0,0.67,0.77,0,212.2,0,0,86.51,1295.19,495.69,0.63,17.91,0,0,4.43,0,1.1,4.1,4.35,27.85,294.68,0,8.32,0,0
 36-46,0,0,0,0.63,2.39,0,0,70.13,1.53,0,15.45,114.39,0,0,0,0,0,0,0,0,0,219.68,0,1.26,131.59,896.53,507.24,0,8.72,0,0,0,0,0,0,0.56,0.94,281.55,0,0.58,0,5.47
 48-58,0,0,0,0,1.81,0,0,64.05,0,3.2,24.97,164.68,0,0,2.55,0,0.48,0,0.45,0,1.2,363.71,0,0,90.42,326.78,291.49,0,8.69,0,1.04,0.6,0,0,2.83,1.63,0,165.1,0,0,0,3.72
 60-70,0,0,0,0,11.43,0,2.15,59.47,0,1.49,30.95,438.83,0,0,0.9,0,0,0,1.52,0,0,462.58,0,2.74,59.95,169.24,99.78,0.58,5.62,0,2.07,1.43,0,0,4.11,0,0,92.71,0,0,0.73,11.87
 72-82,0,0,0.5,0,0,6.51,0.49,115.22,0.72,7.4,50.58,631.63,0,0,4.33,0,0,1.62,1.31,0.96,0,721.59,1.59,0.55,65.01,167.03,46.99,1.29,9.42,0,4.52,0,0,0,11.56,0,0,72.9,10.69,2.53,1.96,8.55
 84-94,0,0,0,0,3.04,3.37,7.36,201.8,0,9.46,32.29,553.79,0.76,0,4.2,0,0,0.8,1.62,4.89,0,568.69,0,16.1,38.05,166.3,49.18,0.9,13.8,0,0,4.48,0,0,36.52,0,0,56.96,3.82,0.84,7.79,12.34
 96-106,0,0,0,0,14.13,0.59,2.11,233.48,3.33,0.56,48.2,500.27,2.07,0,0.78,0.83,3.17,0.95,0,6.51,7.1,639,0,2.82,45.1,186.49,30.54,0,12.6,0,5.87,1.74,0,0,46.82,0,0,34.8,3.99,6.63,4.86,0
108-118,0,0,0,0,2.93,5.3,10.48,261.08,0,0.55,32.08,560.86,0.82,0,0.74,1.23,0,3.61,0,10.36,0.97,717.89,0,3.56,45.98,193.15,30.96,0.68,17.63,0,16.62,7.24,0,0,32.83,0,0,32.34,4.18,1.8,4.85,20.19
120,0,0,0,0,2.7,2.38,0,228.52,0,0,55.72,590.43,0,0,0,6.42,0,21.29,0,3.76,0,652.81,0,0,46.07,142.41,58.24,0,18.66,0,17.39,0,0,0,20.78,0,0,7.34,6.25,0,19.49,0
