stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,27.05,528.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.36,0,0,0,0,0,0,0,0
  5-6,76.73,715.64,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,17.99,21.73,0,0,0,0,0,0,0,0
  7-9,26.33,34.89,26.91,0,102.65,0,0,16.02,0,0,0,0,0,0,683.47,15.38,0,231.04,0,0,0,0,0,0,0,0,0
 10-12,0,18.27,26.2,0,70.34,0,0,35.88,0,0,0,0,0,0,640.93,0,0,202.1,0,0,35.66,0,0,0,0,0,0
 14-21,0,0,0,3.1,0,0,0,0,0,0,0,0,1.75,0,18.72,0,0,0,0,9.09,0,3.56,3.12,0,0,0,0
 24-34,0,0,0,0,4.77,0,0,0,0,0.6,0.59,0,3.24,0.84,17.21,0,0,0,0,0,0.76,4.05,1.45,0,0,0,0
 36-46,0,0,0,0,3.57,0,0,0,0,2.39,0,0,0,0,25.19,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.07,3.27,0.46,1.87,0,0,0,0,0.64,1.44,4.9,18.31,0,0.71,0,0,0,0,0,0.56,0,0,2.12,3.49
 60-70,0,0,0,0,2.83,0,0,0,0,0,0,0,0.85,0,9.27,0,0,0,0.71,0,0,0,1.27,0,0,0,0
 72-82,0,0,0,0,1.88,0,0,0,0,0.58,0,0,2.06,0.7,2.65,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,7.16,0,0,0,1.58,0,0,0,0,2.72,0.71,0.74,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,12.49,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.01,5,0,0,0,1,0,0,0,1.06,0,4.52,0,0,0,2.14,0,0,0,0,0,0,0,0
120,0,0,0,1.12,0,0,0,0,0,0,0,0,0,3.99,2.26,0,2.8,0,0,0,0,0,0,0,0,0,0
