stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.23,0,65.88,14.56,15.16,0,0,0,3.53,3.34,1.02,1.07,0,3.37,0,0,0,0.86,16.7,0,0,8.65,210.78,2.96,0,9.19,4.47,0,3.09,41.56,2.74,6.87,22.76,63.96,0,0,5.36,0,0
 24-34,0,0.71,1.64,18.07,0,27.7,0,3.25,1.85,4.08,1.32,0,0,1.44,9.42,0,2.76,0,2.5,24.22,0,0,10.36,230.38,2.44,3.19,4.86,0,0,24.61,0,0,1.01,3.4,48.93,0,0,20.05,0,4.2
 36-46,0,0,0,36.95,0,16.29,0,9.82,0,9.16,0,0,0,0,0.78,0,1.8,0,3.05,9.56,0,0,8.53,183.82,0.89,1.45,0.9,0,0,33.16,0,0.89,6.21,0,35.74,0,0,2.58,0,12.45
 48-58,0,0,0,8.43,0,52.56,0,3.78,0,12.41,0.77,0,1.05,8.33,4.71,3,0.5,0,0,7.56,0.41,0.43,1.11,113.07,8.02,0.74,13.04,0,0.56,36.09,0,0,0.46,0,10.94,0,0,1.53,0,0
 60-70,0,0,0,50.44,0,43.57,0.58,10.86,0,2.59,0.64,0,0.59,1.58,4.4,3.38,0,0,0,11.85,0,0,2.65,113.98,0,4.46,0,0,0,28.84,0,3.39,1.33,0,10.15,0,0,0,0,0
 72-82,0,1.14,0,10.71,1.29,110.1,0,4.29,1.05,11.58,3.69,0,1.47,2.46,2.63,0,8.04,0,0,28.89,0,0,2.18,105.89,0,4.1,1.19,0,0,20.09,0,0,0,0,15.67,2.08,0.75,12.93,0.71,22.87
 84-94,0,0,0,7.22,1.71,39.64,0.57,1.77,0,10.32,2.72,0,0,3.32,2.86,1.2,0.67,1.75,4.1,6.61,1.78,5.36,0,57.36,0.62,5.72,4.76,0,0,17.61,0,0,0,0,3.7,0,0,10.73,0,5.98
 96-106,0,3.42,0,10.56,3.19,55.17,0,0,9.19,6.74,1.66,0,1.61,4.87,0,0,8.33,4.37,0,22.07,0.77,1.24,0.58,32.42,0,9.58,1.85,0,0,9.24,0,0.7,0,0,9.74,0,0.75,7.69,1.72,0
108-118,0,0,0,12.71,3.09,37.94,0,0.43,0,11.51,1.69,0,1.35,5.43,0.59,1.19,4.07,1.33,0,18.61,0,0,2.94,73.18,2.59,2.6,1.52,0,1.32,17.67,0,0.53,0,0,6.52,2.9,0,7.24,0.5,0.83
120,0,0,0,14.29,2.63,22.45,0,2.76,0,14.43,3.44,0,0,24.91,0,0,1.88,0,0,11.31,1.72,0,4.89,162.47,1.8,20.61,1.51,0,0,31.71,0,1.02,0,0,13.33,0,0,3.52,6.49,0
