stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,341.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.28,8.02,0,0,29.43,0,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,101.37,0,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.03,0,0,0,57.67,0,0,0,0,0,0,11,0,0,0,0,0,0
 14-21,0,0,7.51,43.43,14.28,0,0,0,0,0,1.73,0.91,1.35,0.97,0,1.63,0,0,0,12.59,0,0,10.17,61.03,23.23,0,0,0,0,34.34,0,1.28,2.44,18.17,24.94,50.23,0,0,0,0,0
 24-34,0,0,2.13,26.06,0.91,0,0.61,0,0.82,0,0.68,0,0,1.25,0,4.14,0,0.68,0,49.43,0.93,0.89,21.01,86.31,7.98,5.18,0.76,0,0,56.54,0,0,0.79,2.61,9.86,114.07,0,0,19.07,0,0
 36-46,0,0,0,9.91,0,0,3.51,0.58,6.97,0,8.37,1.15,0,0,0,0,0,0,0,25.47,0,0,4.94,140.32,8.56,0,3.88,0,0,61.96,0,0,0.72,0,0,135.09,0,0,4.12,0,0
 48-58,0,0,0,32.47,0,0,16.04,0,3.1,1.26,10.13,0,0,0.5,0,0.4,0.98,0.53,0,31.19,0,0,6.01,198.04,0,0.44,0,0,0,75.29,0,0,1.07,0,0,137.85,0,0,6.08,0.78,3.03
 60-70,0,0,0,18.99,0,0,25.23,0,6.21,8.03,4.35,2.74,0,0.79,0,0,1.86,0,0,32.08,0,0,3.41,339.2,1.57,0,0,0,2.07,71.08,0,0,1.88,0,0,155.55,0,0,4.22,0,0
 72-82,0,0,0,25.04,1.61,0,23.16,4.55,1.74,2.94,8.47,0,0,0.74,0,1.1,0,0,0.62,41.36,0,0.87,9.03,303.97,0.82,1.18,0,0,0,54.33,0,0,0.68,0,0,117.28,0.56,1.33,19.6,2.44,0
 84-94,0,1.16,0,34.3,0,0,30.71,0.55,9.49,0.7,14.2,0.71,0,0,0,3.51,0,0.83,0,15.53,0,2.03,0.57,192,1.83,0,1.19,0,0,121.97,0,0,0,0,0,92.48,0.66,2.87,8.59,2.93,0
 96-106,0,0,0,46.12,5.59,0.66,18.48,0,4.24,0.64,5.5,2.39,0,0.66,0,3.51,0,1.11,12.15,13.95,3.89,0.57,1.32,168.47,0,1.23,4.21,0,4.17,91.38,0,0,1.78,0,0,28.28,3.96,0,9.75,0.79,0
108-118,0,0,0,44.45,3.81,4.13,32.63,0,16.52,1.23,5.53,6.92,0,3.28,3.76,1.39,3.78,0.49,0.63,11.77,0,4.18,8.77,269.68,0,0.51,3.72,0,3.62,91.24,0,0,0,0,0,19.69,7.58,0,6.86,2.03,0.97
120,0,0,0,108.48,3.48,1.61,16.97,0,19.3,0,7.27,0,0,0,0,1.07,3.33,0,0,13.8,0,8.06,1.95,517.71,2.9,0,9.45,0,0,92.69,0,0,0,0,0,20.07,4.27,0,0,0,0
