stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.32,358.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0
  5-6,6.86,515.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,84.12,94.89,0,101.24,0,0,142.46,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,0,1162.42,82.02,0,0,621.85,0,5.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,108.57,0,88.07,0,0,243.56,0,0,0,0,0,65.43,0,0,0,0,0,0,0,0,0,0,0,1677.65,128.26,0,0,601,0,3.3,0,38.31,0,23.3,10.41,0,0,0,0,0
 14-21,0,0,1.07,6.48,90.9,34.21,16.34,0,0,0,10.17,3.53,0.9,4.23,0,0.9,0,0,0,0.91,61.89,0,0,24.1,556.09,32.5,3.11,7.04,11.8,0,15.18,66.62,3.86,6.39,75.65,237.07,0,0,9.85,0,1.85
 24-34,0,0.83,2.67,0.64,47.12,1.34,53.38,0,2.52,3.7,24.17,0.69,0,2.88,0,4.51,0.86,1.58,0.68,15.81,67.69,0.91,0,41.79,1287.3,10.11,9.15,5.01,0,0,5.8,0,0.63,0,9.08,329.45,0,0,11.25,0,7.39
 36-46,0,0,0.85,0,23.05,0,169.54,0,8.92,8.18,57.13,0,0,4.86,0.93,0,0,2.53,2.5,33.64,101.65,3.26,2.45,26.2,1789.3,5.68,12.99,1.82,0,0.97,18.5,0,3.17,9.7,0,463.04,0,0.62,28.09,0,12.04
 48-58,0,0,0.46,0,21.58,0,276.86,0.39,4.98,3.3,90.62,0,0,4.16,4.39,4.18,0.81,1.42,6.95,57.29,160.57,2.34,2.7,23.83,1523.1,3.61,2.3,2.54,0,2.01,11.67,0,8.95,1.87,0,379.26,0,0.49,16.27,0,21.75
 60-70,0,0,0,0,44.76,5.21,425.12,1.77,3.66,6.86,98.06,0,5.49,0,39.27,1.42,0.7,1.52,0,11.25,182.83,0,7.87,17.27,1390.12,10.68,5.68,6.46,0,1.44,28.66,0,5.1,0,0,255.55,2.03,2.63,6.39,1.9,5.99
 72-82,0,0,0.97,0,20.43,2.64,342.56,2.52,13.83,13.08,132.99,3.52,0,2.68,14.75,1.2,4.06,2.04,0,12.68,292.44,5.11,19.65,20.89,1043.79,2.37,4.34,6.72,0,3.69,9.83,0,4.45,0,0,97.6,0.94,4.79,23.47,9.66,32.44
 84-94,0,0,3.38,1.04,29.84,4.38,246.35,7.5,6.59,2.92,116.78,10.95,0,3.69,18.9,0.8,1.26,5.32,0,68.4,181.77,8.35,14.44,13.76,700.01,11.79,0.64,3.23,0,2.68,16.86,0,4.12,0,0,85.53,1.99,9.28,18.29,11.34,14.45
 96-106,0,0,2.99,0,25.18,10.31,229.77,1.28,1.91,6.43,105.06,13.46,0,1.61,13.79,3,2.38,12.09,20.95,15.65,172.68,18.19,16.98,9.99,516.87,8.75,13.25,15.6,0,6.97,7.85,0,1.24,0.84,0,43.94,0.81,4.13,24.91,14.81,19.61
108-118,0,0,0,0,32.21,0,220.2,0.98,19.68,7.77,141.42,6.07,0,2.14,16.29,1.21,12.34,4.16,4.08,17.57,199.16,4.31,6.59,7.45,824.57,10.37,7.52,7.86,0,10.14,14.11,0,4.95,0,0,27.75,8.96,4.74,23.88,10.05,11.05
120,0,0,6.47,0,20.14,0,248.97,12.09,17.09,3.12,106.07,12.24,0,15.23,21.95,0,3.17,0,0,25.08,173.5,13.87,11.56,31.5,1045.77,7.86,2.92,0,0,0,33.78,0,4.24,0,0,44.97,5.08,0,32.4,2.54,0
