stage,epidermis,eye,glial,neural,spinal_cord
 24-34,0,0,0,1.68,0
 36-46,0,0,0,3.46,0
 48-58,3.33,0,0,1.49,0
 60-70,0,0,0,16.86,0
 72-82,0,9.8,0.66,2.86,0
 84-94,0,0,0,2.14,2.56
 96-106,0,3.96,0.61,1.44,0
108-118,0,1.8,0,14.52,0
120,0,0,0,1.62,0
