stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0
  5-6,34.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,39.87,0,0,0,19.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,19.61,4.82,0,0,0,1.54,3.19,0,0,1.69,1.22,0,0,0,0
 24-34,0,0,0,2.56,0,0,11.8,0,0,0,4.3,0,0,0,0,1.48,0,3.94,0,3,49.01,0.7,0,0.69,0,0,0,0,0,2.24,9.8,0,0,0,0
 36-46,0,0,0,0.6,0,0,29.66,1.9,0,0,2.4,0,0,0,0.61,2.63,0,8.24,0,4.41,35.74,0.72,0,0,0,4.84,0,0,0.65,0,11.77,0,1.01,0,0
 48-58,0,0,0,3.58,0,0,20.96,0,4.16,0,9.02,2.15,0.94,0,0,0,0,14.66,0,6.02,50.48,0,0.57,0,0,0.92,0,0,0,0,6.32,0,0,0,4.06
 60-70,0,0,0,2.68,0,0,22.25,3.06,0,0,0.78,0,0,0,0,0,0,21.68,0.84,0.72,38.58,0,0,0,0,0.68,0,0,1.71,0,0.9,1.03,0,0,5.91
 72-82,0,0,0,2.56,0,0,7.48,0,0,10.93,5.04,0,0,0,0,4.65,0,33.06,0,0,45.91,0,0,0,0,0,0,0,0,0,4.08,0,1,1.53,0
 84-94,0,0,0,3.15,0,0,8,0,0,0.61,2.37,0,0,0.75,0,1.18,1.84,10.89,0,0.78,15.26,0,0.56,0.58,0,0,0,3.73,0,0,2.94,1.31,3.85,0,0
 96-106,0,0,0,0,0,0,3.66,0,0,0,6.62,0,0,0,0,0.99,0,2.83,0.75,1.72,11.02,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0.91
108-118,0,0.91,0,1.9,0.73,0.45,4.34,0,0,0,10.36,4.29,0,0.85,0,1.9,0,16.65,0,0.91,28,0,0,0,0,0,0,0,0,0,0.72,1.1,1.98,0,0.93
120,0,0,0,0,0,0,7.41,0,1.14,3.41,7.92,0,0,0,0,0,0,2.83,0,3.76,80.38,0,0,0,0,2.32,0,0,0,0,12.69,0,2.97,0,0
