stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.21,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.02,0,0,10.36,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.12,0,0,0,0,0,0,0,0,0,0,0,0,26.48,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.77,0,0,0,0,0,0,0,0,0.86,0,2.34,2.71,0.84,0,0,0.9,0,3.92,5.19,0,0,1.82,0
 24-34,0,0,0,2.74,0.87,0,0,1,0,0,0,0,2.56,0,0,3.08,0,0,0,0,0,0,2.04,0,0,1.69,0
 36-46,0,0,0,0.59,0,0,0,0,1.47,0,0,0,10.63,0,2.23,34.14,0,1.32,4.59,0,0,0,3.91,0,0,1.58,0
 48-58,0,0,0,0.5,0.44,1.03,0,0.39,0,1.2,0,0,7.96,0,1.27,15.1,0,0,13.35,0,0,0,2.82,0,0,13.44,0
 60-70,0,0,0,0,0.79,0,0,5.86,0,0,0,0,26.33,0.93,3.4,42.86,0,0,12.71,0,0,0,6.11,0,0,1.71,0
 72-82,0,0,0,0,2.56,0,0,3.39,0,1.24,0,0,16.55,0.68,2.14,19.54,0,0,1.93,0,0,0,0,0,0,1.04,0.53
 84-94,0,0,0,1.86,1.51,0,0,0.82,0,5.48,0,0,11.33,0,0,11.48,0,0,7.58,0,0.67,0,0,0,0,1.14,0
 96-106,0,0,0,0.59,0,0,0.75,1.92,0.96,1.86,0.66,0,17.21,0,0.67,5.29,0,0,0.67,0,0.71,0,0,2.82,0,0,0
108-118,0,0,0,1.83,0,0,0,6.98,1.35,2.51,0,0.91,24.37,0,1.9,13.24,0,0.51,6.23,0,0,0,0,0,0.89,1.61,0
120,0,0,0,2.98,0,0,10.08,2.83,0,2.12,0,0,33.18,0,0,31.2,0,2.49,0,0,0,0,0,1.19,0,1.23,0
