stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,71.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.43,54.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.28,0,0,0,21.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.89,0,0,0,135.61,0,0,0,0,0,12.53,0,0,0,0,0
 14-21,0,0,0,0,29.15,65.09,0,8.38,0,0,0,0,0,0,0,3.22,0,0,0,1.15,0.88,197.79,0,0,2260.66,164.12,4.74,0,0.94,11.99,0,2.1,141.36,3.81,15.86,6189.18,15.63,0,7.74,0,0
 24-34,0,0,0,0,25.33,11.06,0,25.39,7.8,0,13.39,0.75,0,0,0.68,0,1.77,0,0,0,1.48,1500.82,5.25,0,2747.67,299.35,63.28,1.05,0,10.77,0,10.25,9.73,1.72,5.84,1012.08,42.44,0,38.78,0,0
 36-46,0,0,0,0,0.62,0,0,11.3,3.31,0,37.54,4.37,0,0,1.59,0,0,0,0.7,0,6.19,1541.24,0,0,1165.11,138.5,65.69,1.52,0.8,0,0,3.88,0,0.59,3.92,21.63,8.77,0.62,8.49,0,0
 48-58,0,0,0,0,4.71,1.44,0,33.21,0,0,15.36,5.33,0,0,7.34,7.07,0,1.14,0,0,1.87,1126.69,0.74,1.99,769.77,140.48,111.62,0,0,0,0,0.52,0,0,7.15,0,18.17,3.08,6.75,0.65,0
 60-70,0,0,0,0,21.7,0,0,32.77,1.01,1.31,17.05,6.16,0,0,0,0.65,3.07,0,0,0,0,896.6,1.7,8.94,548.52,81.08,70.04,0,0,0,0,8.35,0,0,0.89,0,9.9,14.87,0,11.25,0
 72-82,0,0,0.6,0,1.94,9.64,0,52.69,0,6.38,5.03,1.84,0,0,0,1.02,0.61,0,0.68,0,0,1109.64,0.58,17.99,756.51,114.77,34.84,0,0,0,5.53,0.73,0,0,1.5,0,1.06,19.1,0.51,38.77,0
 84-94,0,0,0,0,4.35,0,0,69.05,0,1.88,6.86,2.19,1.93,0,0,3.34,3.56,0,0,1.81,0,910.75,0,18.68,421.83,48.86,46.64,0.87,6.54,0,1.31,1.35,0,0,3.96,0,1.71,22.55,0,51.72,0
 96-106,0,0,1.06,0,0,0,0,27.41,0,0,0,4.04,0,1.06,1.64,0,0.86,2.77,1.01,0,0,966.55,0,7.51,425.18,115.04,29.46,0,3.04,0,6.15,2.92,0,0.64,0,0,8.39,30.31,0,80.8,0
108-118,0.67,0,0,2.69,2.1,3.1,0.43,57.28,0,0.53,0.79,7.02,0,0,0,0.65,0,0.89,1.99,1.49,0,1237.72,1.15,44.26,351.52,74.75,34.27,4.13,0,0,0.91,3.15,0,0,0,0,2.82,32.32,0,70.36,0.91
120,0,0,0,0,2.47,0,0,52.75,0,1.33,0,2.95,0,0,0,0,1.28,0,8.44,35.78,0,1136.09,0,34.46,247.47,167.58,40.27,6.14,0,0,10.37,1.56,0,9.87,0,0,0,43.01,0,161.62,0
