stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,407.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0
  5-6,6.06,137.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.73,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,0,29.87,0,0,28.04,0,0,0,35.15,0,0,0,0,0,0,81.32,10.2,0,0,66.31,0,0,0,0,0,0
 10-12,0,0,11.64,0,0,18.93,0,0,0,0,0,0,0,0,0,0,192.36,0,0,0,60.5,0,0,8.5,0,0,0
 14-21,0,0,0,3.73,8.13,2.93,0,1.9,1.18,0,0,0,0,5.52,0,3.11,51.62,0,0,0,1.95,2.67,10.77,0.94,8.54,28.4,0
 24-34,0,0,0.76,0.6,0.61,6.22,0,5.37,0,0,0,0,0.77,20.63,0,4.83,170.33,0,13.76,0.73,0,0,0,0,4.25,42.51,3.1
 36-46,0,0,0,0,0,8.18,0.64,3.5,0.56,0,0,0.65,3.21,12.57,0,2.74,65.14,0,8.58,0,0,0,0,3.11,0,42.36,2.8
 48-58,0,0,0,0,0.48,8.06,0,15.59,0,0,0,0,0.54,15.8,0,1.83,55.49,0,4.22,0,0,0,0,0.56,0,15.68,2.76
 60-70,0,0,0,0,0,11.03,0,18.77,1.21,0,0,0,0,4.95,2.36,2.02,19.57,0,10.04,0.63,0,0,0,0,0,29.8,6.11
 72-82,0,0,0,4.59,0,3.93,0.71,16.51,0.7,0,0,0,0,10.45,0.55,1.73,3.37,0,8.94,0.52,0,0,0,0,0,4.7,4.78
 84-94,0,0,0,0.8,0,2.65,0,11.34,0,0,0,1.29,0,2.05,0,1.16,24.33,0,6.04,2.57,0,0,0,0,0,1.08,0
 96-106,0,0,0,0,0,3.64,0,13.71,0,0,0.62,0,0.65,8.17,0,2.14,20.58,0,8.85,1.41,0,3.78,0,0,0,0.94,0
108-118,0,0,0,0,0,1.82,0,19.04,0,0,0,0,0.52,11.49,0,0.75,15.95,0,17.97,1.44,0,0,0,0,0,5.65,0
120,0,0,0,0,21.09,0,0,4.45,0,0,0,0,1.15,21.94,0,1.06,16.1,0,0,1.51,0,0,0,0,0,8.54,0
