stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.58,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,7.44,0,7.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.8,13.83,0,0,15.62,0,0,0,8.04,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,4.05,0.84,0,2.06,0,0,0,0,1.81,0,0,0,0,0,12.38,0,0,0.91,25.21,0,0,0,0,1.89,0,0.9,0,0,3.96,10.85,0,0,0,0,0
 24-34,0,0,0.66,0,1.49,0.67,0,10.54,0.68,0,0,0,0,0,0.8,2.69,0,0,6.52,0,0,3.03,90.41,0,1.59,0,0,10.5,0,0,2.38,0.66,2.43,17.51,0,0,8.08,0,1.36
 36-46,0,0,0,0,2.27,0.73,0,16.67,16.19,3.81,0,11.19,0,1.87,0.57,14.71,0,0,4.3,0,0,8.48,90.38,0,0.61,0,0,38.96,0,0,0,1.88,0,23.09,0,0,5.94,0,0
 48-58,0,0,0,0,3.66,0.4,0,31.81,3.83,0,1.28,8.46,0,0,0,0.92,0,0,24.48,0,0,1.58,104,0,1.68,0,0,5.86,0,0,0,1.4,0,24.41,0,0,0,0,3.2
 60-70,0,0,0,0,0.83,3.41,0,69.69,4.06,0,0.83,5.22,0.62,6.26,0.78,0,0.59,0,12.79,0,0.81,7.76,136.73,0.98,1.29,2.75,0,12.86,0,0,0,3.56,0,10.8,0,0,0,0,0
 72-82,0,0,0,0,1.26,4.6,0,64.05,0,6.39,0,15.4,2.09,0,0.55,0,0,1.6,17.08,0,0.85,0.66,83.82,0,1.02,0,0,2.82,0,0,0,0,0,9.3,0,1.24,1.02,1.41,3.78
 84-94,0,0,0,0,2.04,1.4,0,35.03,0,0,0,0.67,3.22,1.81,1.83,1.17,0,2.18,23.77,0,0,1,57.7,0,0,4.15,0,17.68,0,0,1.91,0,0,3.43,0,0,5.85,0,0
 96-106,0,0,1.05,0,1.22,13.82,0,55.42,0,0,0.84,6.72,0,0,0.65,2.15,0,0,12.03,0,2.39,2.3,50.32,0,0,1.37,0,13.89,0,0,1.28,0,0,0,0,0,3.99,0,0
108-118,0,0,1.13,0,7.32,0.47,4.54,58.33,0.47,1.12,0,22.87,3.66,0,0,0.69,4.05,1.95,5.68,6.85,0.69,3.07,61.25,0,0,3.49,0,10.53,0,0,0.55,0.48,0,3.91,0.84,0,1.89,0,0
120,0,0,0,0,18.13,8.66,0,44.8,0,1.75,0,17.87,17.63,0,1.43,1.25,0,2.37,32.18,0,0,0,141.33,0,0,3.14,0,7.17,0,0,0,0,0,0,3.57,0,21.81,7.37,0
