stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,52.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74,0,0,0,0
  7-9,3.65,0,0,0,0,0,0,0,0,0,0,0,17.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0
 14-21,0,10.74,0,0,0,0,0,0,1.25,0.86,0,0.99,5.84,0,0.86,14.25,0,2.41,0,0
 24-34,0,2.05,0,2.63,0,1.27,0,0,0,3.17,0,0,53.28,0.64,0,4.45,0,6.02,0,0.66
 36-46,0,0.9,0,24.74,0,0,0,5.23,0,4.27,0.68,0,108.09,0,3.5,0,0,42.88,0,0
 48-58,0,0,0,31.4,0,5.77,0,6.75,0,6.01,0,2.88,58.29,0,0,0,0.74,19.22,0,0
 60-70,0,0,0,22.86,0,0,0,6.28,0,0,0,0,27.3,0,0,4.64,0,0.66,0,0
 72-82,0,0,0.57,2.45,0,4.73,0,0,0,0,0,0,28.85,0,0,0,0,2.32,0,4.22
 84-94,0,0,0,8.24,0,0,1.42,4.81,0,1.07,2.46,0,2.43,0,3.34,0,0,0,1.74,0
 96-106,0,2.15,0,0,0,0,0,3,0.57,2.14,0,0,9.28,0,0,0,0,0,0,0
108-118,0,6.78,0,0.52,0.52,0,0,0,0.93,1.1,0,0,0,0,0.65,5.56,0,1.12,0,0.49
120,0,1.68,0,0,0,0,0,0,0,0,0,0,24.19,0,0,0,0,0,0,0
