stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,192.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0
  5-6,6.17,217.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33,0,0,0,0,14.53,0,0,0,0,0,0,0
  7-9,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,8.54,0,0,4.11,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.47,1.74,0,3.54,0,0,0.93,0,0,0,0,0,0,0,0,4.95,0,0,0,10.99,0,0,0,0,1.54,0,0,1.73,0,0,0,0
 24-34,0,0,0,3.37,0,0,7.71,0,0,1,0,0,0,0,0,0,0,0,4.19,0,0,2.51,157.29,0.63,0,0,0,2.24,0,1.32,20.67,0,0,0,0
 36-46,0,0,0,8.88,0,0,9.96,0,0,1.05,0,5.03,0,0,0,0,0,0,10.69,0,0,0,304.09,0,0.87,0,0,1.67,0,0,23.49,0,0,0,0
 48-58,0,0,0,0.96,0.38,0,32.79,0,6.38,15.4,0,1.1,0,0,0.43,0,0,0.59,7.3,0,5.22,0,487.73,0,0,2.13,4.77,0.56,0,0,31.3,0,0.77,0,0
 60-70,0,0,0,2.09,0,0,117.28,0.59,7.34,34.31,0,0,0,0,0,1.26,0,0,21.06,0,3.96,2.15,995.57,0,0,0,0,11.5,1.24,0,29.18,0,0,1.13,0
 72-82,0,0,0,7.41,0,0,233.23,0,0,43.14,0.56,0,0.49,0,10.1,0,0,0.95,16.45,0,17.01,4.41,992.92,0,0,3.02,0,0,1.77,0,39.83,1.19,1.85,1.64,0
 84-94,0,0,0,5.96,0,0,272.85,0,0,61.87,0,0,0,0,0,6.41,0,0.73,11.74,0.58,10.25,0,702.5,0,1.95,0.72,0,1.33,0.62,0,21.28,1.15,1.18,3.33,2.36
 96-106,0,0,0,1.43,0,0,246.88,0,0.61,37.7,0,0,0,0.67,0.75,0,0,0,27.83,0,4.76,0.71,666.12,0,0,0.59,0,1.01,0.63,0.6,23.6,5.11,0,0.63,7.56
108-118,0,0,0,7.23,0,4.57,320.2,0,0,33.55,0,0.69,0,0,0.43,0,0.84,0.53,21.7,0,8.63,0,671.6,0,0,0,0,5.82,0,0,8.48,0,0.61,3.62,0
120,0,0,0,9.51,0,0,377.13,0,0,70.22,0,0,3.53,0,0,0,0,0,13.5,0,10.39,4.7,1038.4,1.08,0,9.92,0,0,3.15,0,21.92,0,1.54,9.46,0
