stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,5.02,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.82,25.39,0,0,55.74,0,11.01,0,0,0,36.8,0,0,0,0,0,0
 14-21,0,0,0,25.53,1.02,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,5.52,0,0,5.17,21.61,1.87,0,34.61,0,0,4.59,5.15,1.89,531.88,409.73,10.92,0,0,0,0,0
 24-34,0,0,0,27.17,0,0,0,0.75,2.13,0,1.08,0,0,0,0,0,0,5.42,0,4.59,0.89,0,1.21,9.15,250.52,0.73,5.34,28.09,0,0,21.91,0,3.17,144.25,167.89,66.12,0,0,2.83,0,0
 36-46,0,0.85,0,6.22,0,0,22.58,1.32,21.55,0,1.67,0,0,0,0,0.93,0,2.17,0,0,0,0,0,4.93,839.54,0,2.88,20.88,0,0,37.95,0,10.55,74.13,11.78,220.79,0,0,5.56,0,0
 48-58,0,0.88,0,11.77,0,0,251.48,3.69,0.93,7.69,11.32,0,0,0,1.05,0.4,0.39,3.47,0,0,7.8,0,0,5.96,1425.77,0,0.69,32.18,0,0,21.95,0,2.52,11.38,0,221.98,0,0,5.73,0,3.04
 60-70,0,0,0,10.02,0,0,1123.3,6.35,1.81,1.48,17.44,0,0,0,0,0,0,13.75,0,3.73,18.02,1.14,0,15.94,2532.8,0,1.22,28.7,0,0,28.54,1.38,0.58,3.63,0,383.59,0,0,16.35,0,14.53
 72-82,0,0.54,0,4.92,4.33,0,1623,0.76,6.15,4.56,30.64,0,0,0,0,0,0,12.64,3.19,1.11,40.9,0,6.56,3.45,2062.69,11.79,1.03,64.55,0,0.71,24.56,0,5.85,0,0,285.13,0,0,35.29,1.08,32.86
 84-94,0,4.02,0,14.55,1.05,0,1270.06,0,11.42,0,49.59,2.2,0,0.8,4.5,1.47,0.76,13.79,0,0,42.32,2.13,0,1.64,1440.37,0,13.32,62.94,0,0,47.53,0,8.12,1.52,0,153.34,0.9,1.64,14.55,0.77,5.98
 96-106,0,3.36,0,21.43,8.13,1.22,1441.97,0,8.99,1.66,50.61,3.47,0,2.42,2.69,0,1.38,23.62,1.56,0,43.91,0,0,0.89,1204.42,0,2.49,86.51,0,0,32.78,0,9.16,0.64,0,64.99,0,0.77,11.1,2.17,0
108-118,0,0.71,0,16.21,5.29,0.6,1356.48,0.98,10.97,0,44.75,1.89,0,0,0.6,2.55,1.01,17.27,0.6,0,11.98,2.63,4.24,5.28,1832.72,0.43,3.13,119.83,0,0,18.44,0,9.89,1.22,0,100.86,0.68,0,33.76,1.61,0
120,0,6.67,0,32.61,2.75,0,965.53,1.47,13.95,0,72.02,2.35,0,1.85,1.51,0,0,42.09,0,0,12.47,0,0,20.7,2886.96,0,1.15,92.43,0,0,20.98,0,13.57,4.4,0,111.67,0,0,23.15,0,0
