stage,axial,blastomeres,endoderm,epidermis,erythrocytes,glial,gut,immune,melanocytes,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  5-6,6.79,31.27,0,0,0,0,0,0,0,0,0,10.04,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,12.69,0,0,0
 10-12,0,0,0,0,5.18,0,0,0,0,0,29.26,28.76,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0.83,0.86,0.95,1.11,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0.63
 36-46,0,0,0,0,0,0.7,0,0,1.88,1.03,1.16,0,0.66,0
 48-58,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0
 96-106,0,0,0,0,0,0,1.15,1,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0
120,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0
