stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,25.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,90.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,0,5.25,1.78,0.94,0,0,77.23,0,0,0,0,0,0,1.99,0,81.14,1.42,4.14,15.87,6.26,0,79.66,0,2.99,222.4,0,0
 24-34,0,0,0.59,5.42,0,0,0.81,0,71.18,0,0,0,0,3.74,0,5.11,0,33.48,0,37.43,5.23,0,0.62,73.74,0.69,1.28,148.09,0,0
 36-46,0,0,0,13.92,0,1.95,4.77,0,26.38,0,0.93,0,0,0,0,0,0,56.7,0,34,1.37,0,0,37.71,0,0,93.76,0,0
 48-58,0,0,0,4.04,0,1.35,0,0,29.34,0,0,0.45,0,0,2.34,0,0,33.43,0,32.81,5.25,0,0,9.65,0,0,74.12,0,0
 60-70,0,0,0,0,0,3.38,0.68,0.63,28.09,0,0,0,0,0,8.42,0,0.59,71.93,0,40.36,14.17,0,0,15.32,0,0,54.41,0,1.57
 72-82,0,1.25,0,0,4.18,4.08,0,0,27.22,0,0,2.25,0,0,8.49,2.33,0,48.55,0,35.62,20.09,0,0,2.64,0,0,39.41,0,0
 84-94,0,3.89,1.01,0.69,0,6.36,0.84,0,51.04,1.46,0,3.98,0,0,9.38,0,0,31.76,0,47.16,48.35,0,0,15.66,0,0,37.09,0,0
 96-106,0,1.61,1.44,0,0,3.34,2.47,0,14.65,0,0,7.89,0.56,0,16.44,1.04,1.79,32.89,0,87.06,37.98,0,0,2.1,0,0,27.09,0,0
108-118,0,1.23,1.06,1.64,0,0,0,0,30.83,0,0,5.08,0,0,10.99,0,0,47.88,0,54.37,27.33,0,0,7.23,0,0,17.49,0,0
120,0,0,0,6.47,0,0,2.68,0,6.37,0,0,10.87,0,0,22.67,0,0,50.34,0,54.72,63.04,0,0,19.78,0,0,32.04,3.03,0
