stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,10.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.59,0,0,0
 10-12,0,8.79,0,0,0,0,0,14.84,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.86,0
 24-34,0,0,0,0,0,0,0,2.7,0,0,5.45,0
 36-46,0,0,0,2.27,0,0,0,5.59,0,0,17.73,0
 48-58,0,0,0,12.02,0,0,0,12.87,0,0,13.17,0
 60-70,0,0,0,79.49,0,0,0,22.7,0,0,23.75,0
 72-82,0,0,0,85.55,0,0.74,0,18.64,0,1.5,5.47,0
 84-94,0,0,0,34.07,0.68,0,0,10.3,0,0,11.88,0
 96-106,0,0,1.96,127.91,0,0,0,12.42,0,0,0,0
108-118,0,0,0,44.63,0,0,0,15.22,0,0,1.46,0
120,0,0,0,30.93,16.18,0,2.4,1.4,0,0,4.66,4.4
