stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.66,4.54,0,0,0,0,0,0,2.61,4.28,0,0,3.54,36.48,2.09,0,0,2.56,0,1.62,12.22,0,0,1.34
 24-34,2.92,10.9,0,0,2.11,0,0.64,0,6.48,35.66,0,1.63,55.82,114.25,0,3.82,1.06,0,0,0.71,7.45,0,0,0.97
 36-46,1.21,3.54,0,0,0,0,0,0.59,2.1,76.74,0,0,46.14,112.13,0,0,0,0,0.62,0,6.33,0.81,0,4.86
 48-58,0.39,13.64,2.52,0,9.63,0,0,0,0,98.43,0,2.67,34.71,52.84,0,0,2.91,0,0,0,3.51,0,0,0
 60-70,3.6,13.59,0,0,0.8,0,0,0,0,86,0,1.09,9.6,39.74,0,0,0,0,0,0,2.04,0,0,0
 72-82,5.01,15.87,0,0,2,0.55,0,0,0,87.54,0.73,22.33,14.77,43.48,0,1.42,0,0,0,0,0,0,1.25,0
 84-94,0.57,9.61,0.56,2.77,3.95,0,0,0,0,53.56,0,2.99,4.68,17.04,0,0,0.71,0,0,0,0,0,2.83,0
 96-106,0,6.14,0,0,0,0,0,0,0,27.9,0,7.37,10.97,17.7,0,0,0,0,0,0,3.57,0,0.91,0
108-118,0.57,2.97,0,0.74,2.03,0,0,0,0,28.53,0,10.84,4.35,30.97,0,0,0,0,0,0,0,1.59,1.01,0
120,0,34.48,1.49,10.14,0,0,0,0,0,19.53,0,6.92,3.83,26.26,0,0,2.72,0,0,0,0,0,12.21,0
