stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,1.31,0.87,0,0,0,0,0,0,0,3,7.24,0,0,0.86,3.2,0
 24-34,0,0,4.71,0,0,0,0,0,0,2.34,1.02,69.15,0.85,1.14,0,11.93,0
 36-46,0,0,28.43,0,2.77,0,0,4.83,0,4.21,0,136.12,0,0.66,0,14.82,0
 48-58,0,0,33.29,0,2.03,0.66,0,0,0,5.54,8.82,75.91,3.68,0,0,7.2,5.61
 60-70,0,0,21.41,0.75,0,0,0,0,0,5.68,0,38.39,0,0,0,5.41,0
 72-82,0,0,13.08,0,3.19,0,0,0,0.64,4.65,0.5,51.43,0,0.81,0,17.97,0
 84-94,0.7,0,6.18,0,0,0,0,0.68,0,0.79,0,37.48,0,0,0,6.47,0
 96-106,0,0.9,1.63,0,0,0,0.58,0,0,1.53,0,12.05,0,0,0,7.5,1.04
108-118,0,1.55,6.18,0,0,0,0,0,0,4.4,0,24.51,0,0,0,0,0
120,0,0,3.75,0,0,0,0,0,0,0,0,14.53,0,0,0,0,0
