stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.59,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,95.88,0,0,0,27.9,0,0,0,0,12.75,0,0,0,0
 10-12,0,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.71,0,0,0,27.31,0,0,0,0,0,24.45,0,0,0
 14-21,0,1.11,0,10.44,2.76,0,5.88,0,0,0,7.38,0.85,0,0,0,1.16,0,0,15.25,0,7.02,140.73,6.27,0,2.36,4.08,0,9.02,0.86,6.05,0,4.76,46.02,0,0
 24-34,0,0.89,0,8.54,1.3,0,43.07,0,0,0,5.98,0,0,1.75,0.64,0,0,0,31.22,0,8.11,268.55,0.64,0,1.16,0,0,3.54,0,0,0,1.3,71.57,8.06,0
 36-46,0,0,0,5.35,0,0,34.22,0,0,0,3,0,0,5.32,2.77,0,0,0,19.97,0,2.61,174.1,0,1.9,0,0,0,0.62,0,0,2.68,0,25.58,3.59,0
 48-58,0,0,0,3.43,0,0,39.89,0,0,0,12.22,0.57,0,0.63,0,0,0,0,18.81,0,1.75,115.42,0,0,0.66,0,0,2.07,0,0,0,0,6.02,2.46,0
 60-70,0,0,0,4.08,0,0,33.3,0,4.81,1.64,15.06,0,0,0,0,0,0,1.16,38.58,0.98,1.83,217.74,1.33,0,0.65,0,3.93,1.81,0,0,0,0,17.91,0,0
 72-82,0,0,0,7,0,0.76,13.19,0,0,1.57,30.17,0.7,0,0,0.62,0,0,0,24.84,0,2.47,96.78,0,0,2.38,0,1.77,2.6,0,0,0,0,2.95,0,0
 84-94,0,0,0,2.27,0,0,17.84,0,2.03,1.39,7.65,0,0,0,0,0,0,0,17.08,0,1.83,76.63,0,0,0,0,0,0.81,0,0,0,0,1.37,0.91,1.77
 96-106,0,0,0,2.58,0,0,18.68,0,0,0.84,4.57,0,0,0.78,0,0,0,0,25.39,0,3.11,41.94,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,7.75,0.59,5.93,9.14,2.37,0,0,4.41,0.8,0,0,0,0.54,0.7,0,31.51,0,0,58.75,0,0,0.49,0,0,1.86,0,0,0,0,0.45,0.45,1.59
120,0,0,0,6.35,3.97,0,7.7,0,0,0,36.61,0,0,0,0,0,0,0,21.73,3.51,3.47,186.18,0,0,0,0,0,0,0,0,0,0,35.04,0,0
