stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.89,433.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,368.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37,0,0,0,0,0,15.34,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,22.82,0,27.38,0,0,62.16,0,0,0,0,0,0,0,0,0,0,0,0,0,226.5,0,0,0,58.73,0,0,13.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.66,0,8.05,0,5.1,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,371.74,0,0,0,115.04,0,0,5.47,0,10.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.26,22.69,3.71,9.02,0,0,6.55,0,0,0,1.23,0,0,0,19.67,0,9.44,245.24,3.78,0,1.3,2.79,0,8.4,0,22.58,1.97,0,19.7,60.22,0,0,7.37,0,0
 24-34,0,0,0.84,0,6.1,0,69.46,0.89,0,4.17,0,5.26,0,2.27,1.32,0,0,44.43,0,20.28,391.45,1.92,2.26,2.75,1,0,1.77,0,0.97,2.89,0,3.71,75.42,0,0,13.07,0,0
 36-46,0,0,0,0,4.95,0,103.34,0,0,19.79,0,0,4.26,0,0,0,0,42.06,1.14,24.83,223.05,0,0,3.15,0,0,0.57,0,1.71,0,0,0,27.23,0,0,6.39,0,0
 48-58,0,0,0,0,1.95,1.56,124.62,2.16,0.48,8.57,7.2,0,2.24,0.44,0,0,0,26.88,1.52,8.97,83.45,0,0,0,0,0,0.51,0,0,1.47,2.4,0,14.4,0,0,12.22,0,0.97
 60-70,0,0,0,0,2.07,0,67.31,0,1.53,13.15,0,0,1.28,0,0,0,0.78,34.13,3.68,4.77,49.79,0,0,0,0,0,0,0,0,2.82,4.89,0,3.12,0,1.88,4.25,0,0
 72-82,0,0,0,0,2.98,0,27.83,0,0,8.93,0,4.89,3.74,0,0,0.92,0,39.53,3.35,8.14,67.16,0.62,1.29,0,0,0,1.02,0,0,0,0,0,0,0,0,5.79,1.09,0
 84-94,0,0,0,1.04,3.18,0.68,22.29,0.57,0,9.4,1.05,0,3.7,0,0,2.13,1.52,41.96,0.6,13.11,72.37,0,0,0,0,0,1.42,0,0,0.58,0,0,7.6,0,0,4.57,4.02,0
 96-106,0,0,0,0,4.8,1.17,25.09,0,0,5.5,2.43,0,0.96,0,0.6,0,0,45.2,1.82,2.11,29.15,0,0,1.73,0,0,0,0,0,0,0,0,8.02,0.58,2.06,0.91,1.97,0
108-118,0,0,0,0.49,3.66,1.97,36.2,0.9,0,17.97,0.78,0,1.92,0,0.69,0,0,41.46,2.89,3.34,53.26,0,0.45,1.9,0,7.71,0.96,0,0,0,0,0,5.52,0,2.41,3.35,0.44,2.97
120,0,0,0,0,7.84,0,34.67,0,1.52,42.19,0,0,4.87,0,0,0,5.02,14.73,0,1.01,51.15,0,0,4.51,0,0,0,0,0,1.14,0,0,14.21,0,5.78,1.3,0,0
