stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,mesenchyme,neural,olfactory,otic,presomitic_mesoderm,taste
  3-4,11.54,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,24.89,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.84,0
 24-34,0,0,0,0,0,0,0,0.91,0,0.74,0,0
 36-46,0,0.76,0,0,0,0,0,2.34,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.91,0,0,0
 60-70,0,0,0,0,0.77,0,0,1.13,0,0,0,0
 72-82,0,0,0,0,0,0,79.15,4.09,0,0,0,0
 84-94,0,0,0.76,0,0,0,15.89,11.31,0,0,0,0.71
 96-106,0,0.93,1.27,0,0,0,68.48,0,0,0,0,0
108-118,0,5.61,0.54,0,0,0.57,98.66,0,0,0,0,0
120,0,32.09,0,2.11,0,0,165.82,0,0,0,0,0
