stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.63,377.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0
  5-6,0,87.22,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,10.29,0,0,0,32.7,0,0,0,0,0,0
 24-34,0,0,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,1.32,1.28,35.28,3.34,4.21,0,0,0,0
 36-46,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,1.14,52.67,6.18,0,0,0,0,0
 48-58,0,0,0,0,0.71,0.69,0,0,0.91,0,0,0,0,1.04,0,0,0,0,0,1.73,0,0,7.11,34.83,1.22,5.66,0,0,0,0
 60-70,0,0,0,0,2.08,0,3.18,0,12.12,3.43,0.67,0,0,0,0,0.65,0,0,0,1.5,0,0.83,0.72,44.77,0.97,0,0,0,2.36,0
 72-82,0,0,1.31,0,3.83,9.77,0,0.61,7.84,0,1.18,0.63,0,0,0,7.34,2.36,0,0,8.47,1.92,0,0.65,53.8,1.58,0,0,0,0,0.7
 84-94,0,0,4.19,1.44,15.89,6.01,2.47,0,17.38,0,8.31,0,0.78,0,0,0,0,0,0,13.45,0,0,14.01,129.39,1.07,0,1.53,0,0.63,0
 96-106,0,0,0,2.88,28.23,6.92,1.16,0.57,36.27,0,2.16,0.94,2.76,3.93,0,11.08,0,1.03,0,14.86,1.43,0.67,6.71,139.78,2.27,0,1.74,0,4.24,0
108-118,0,0,1.62,2.83,20.53,5.48,2.48,2.32,44.93,0,0.97,0.89,0,0,3.18,6.1,1.4,0,0,12.81,0.52,0,7.15,119.31,5.45,0,2.8,0,1.41,0
120,0,0,0,6.07,66.36,0,4.52,0,52.33,0,11.06,2.19,0,0,0,0,4.37,0,0,20.93,0,3.8,0,117.89,7.92,0,4.09,1.46,9.6,0
