stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.98,24.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.69,68.13,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,30.99,7.46,0,0,0,0,0,0,0,0,0,0,22.98,0,0,0,0,0,0,0,0,0,0,62.96,13.56,0,0,7.05,0,3.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.02,12.19,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.77,0,0,0,45.82,0,0,5.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.42,84.61,7.44,0,11.7,0,0,0,0,0,0,0,0,0,0,2.08,4.79,110.83,0,0,133.86,381.89,2.04,1.04,0,0,0,0.9,0,9.57,0.84,204.58,14.73,76.34,0,0,0,0,0
 24-34,0,0,0,57.33,1.22,0,12.36,0.75,2.81,1.63,16.66,0,0,1.37,0,0,10.07,0,0,560.2,0,0,178.69,137.22,5.56,1.22,2.68,0,0,1.68,0,0,0,94.12,2.96,30.91,0,0,7.21,0,1.48
 36-46,0,0,0,25.38,0,0,17.92,3.45,0,32.18,17.19,0,0,0,0,0,4.99,0,0,611.93,0,0.55,126.43,58.58,2.52,0,0.72,0,0,0.86,0,0,0,88.97,0,7.01,0,0,3.12,0,0
 48-58,0,0,0,5.85,0,0,23.24,3.35,0,76.27,15.35,0,0,0,0.47,5.04,1.5,0.48,0.39,629.58,0,0.5,90.27,86.01,1.01,0,2.22,0,0,3.31,0,0,0,71.97,0,12.56,0,0,6.17,0,1.21
 60-70,0,0,0,13.96,0,0,37.9,1.95,3.13,107.35,38.04,0,0,0,0,0,0.66,0,0,771.34,0,0,73.82,51.97,0.8,0,3.26,0,0,6.15,0,0,0,28.23,0,5.2,0,0.67,0.87,0,1.68
 72-82,0,0,0,0.99,2.16,0,41.51,0,8.48,137.23,45.54,0,0.5,0,0,0,1.2,0,0,716.75,0.56,2.07,112.73,62.01,0,0,3.43,0,4.59,0.58,0,0,0,15.96,0,1.53,0,3.54,0,7.78,10.65
 84-94,0,0,0,6.52,0.69,0,60.88,4.37,0,105.26,24.6,0.92,0,0,0,0,2.83,0,0,682.16,0,2.96,77.94,59.22,0,0,1.76,0,4.58,0,0,0,0,35.09,0,5.3,0,0,0,2.41,2.83
 96-106,0,0,0,4.33,2.91,0.62,59.56,0,11.69,72.17,49.62,0,0,0,0,0,0.75,0,0,636.06,0,10.75,46.21,58.33,0,0,0.83,0,10.24,0,0,0,0,15.82,0,0,1.4,17.34,0.66,5.64,19.27
108-118,0,0,0,4.08,0,0,31.07,0.46,4.11,84.2,32.1,0.61,0,0,0.56,0,1.77,0,0,580.55,0,7.15,38.1,40.35,0,0,0.87,0,7.44,0,0,0,0,24.6,0,0,0,0,0,5.87,15.9
120,0,0,0,13.81,0,0,46.58,0,0,60.4,36.32,0,0,0,0,0,0,1.84,0,446.2,1.56,0,45.78,64.76,0,0,0,0,0,2.05,0,0,0,1.21,0,0,2.31,0,2.66,17.83,4.37
