stage,blastomeres,endoderm,gut,neural,paraxial_mesoderm,periderm
  3-4,25.65,0,0,0,0,23.85
  5-6,33.03,0,0,0,0,0
  7-9,0,3.95,0,8.75,3.28,0
 84-94,0,0.95,0,0,0,0
 96-106,0,30.02,1.1,0,0,0
108-118,0,4.31,5.74,2.89,0,0
120,0,68.27,2.66,0,0,0
