stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.43,183.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,138.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.28,0,0,5.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.61,0,0,10.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,2.77,3.51,0,0,0,0,0,1.93,0,2.44,1.74,0,0,0
 24-34,0,0,0.63,2.22,0,0,0,0,0,0,0,0,0,7.57,0,2.04,11.63,1.99,0,0,0,0,0,0,1.14,1.53,0,0,0
 36-46,0,0,0,4.84,0,0,0,0.78,0,0,0,0,0,6.21,0,2,28.62,1.01,0,0,0,0,0,0,0,6.73,0,0.93,0
 48-58,0,0,2.59,10.45,0,0,2.43,0.63,0,0,0,0,0,11.24,0,0.58,34.97,0,0,0,0,0,0,0,0,7.28,0,0,0
 60-70,0,0,4.63,7.5,0,0.89,1.28,0.85,0,0,0,0,0,48.64,0,3.05,49.51,0,0.63,0,0,0.87,0,0,0,0,0,0,0
 72-82,0,0,1.27,16.58,0,0.62,3.92,2.87,0,0,0,0,0,110,0,2.35,32.18,0,0,0,2.36,0,0,0,0,3.07,0,0,0.52
 84-94,0,0,0.7,8.27,6.71,0,2.76,0,0,0,0.65,0,0,142.08,3.33,4.8,28.04,0,2.2,0,0,0.82,0,0,0,3.18,1.67,0,0
 96-106,0,0,1.45,11.86,0.64,0,7.74,5.8,0,2.28,0,0,0,116.35,0,11.75,25.07,0,0.64,0,0,0,0,1.37,0,0,3.44,0,3.99
108-118,0,0,4.43,19.03,0,0,2.16,1.48,0,0.8,0,0.43,0.59,149.38,2.19,3.49,34.15,0,0.43,0,0,1.03,0,0,0,0,3.08,4.14,0.79
120,0,0,4.33,21.82,0,0,0,0,3.28,0,0,0,0,227.7,5.84,2.92,52.39,0,1.4,0,0,3.27,0,0,0,0,0,0,0
