stage,blastomeres,endoderm,eye,hatching_gland,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,328.75,0,0,0,0,0,0,0,29.23,0,0,0
  5-6,236.81,0,0,0,0,0,0,0,9.04,0,0,0
  7-9,4.57,8.63,17.13,9.32,113.01,3.49,0,24.43,0,0,0,0
 10-12,0,5.45,23.41,0,130.26,0,0,30.87,0,4.8,6.49,0
 14-21,0,0,0,0,2.59,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.87,0,0,0,0,0,0,0
 36-46,0,0,0.6,0,0.56,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.53,0,0.71,0,0,0,0,0.46
 60-70,0,0,0.81,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.87,0,0,0,0,0,0,0
