stage,erythrocytes,eye,glial,liver,melanocytes,mesenchyme,neural,pronephros
 14-21,0,0,0,0,0,0,1.66,1.14
 24-34,0,0,0,0,0,0,0,3.74
 36-46,0,0,0,7.64,0,0,0.67,9.94
 48-58,0,0,0.77,0,0,0,1.13,4.38
 60-70,0,3.08,0,0,0,0,0,4.17
 72-82,1.78,0.98,0,0,5.52,8.82,1.14,13.63
 84-94,0,0,0,0,0,0,0,12.01
 96-106,0,0,0,0,0,0,0,12.78
108-118,0,0,0,0,0,0,0,4.47
120,0,0,0,0,0,0,0,3.17
