stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.46,144.55,0,6.81,0,0,35.4,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0,0,0,2835.8,146.24,0,0,2865.39,0,14.19,0,0,0,0,0,0,0,0
 10-12,0,7.74,0,14.95,0,0,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300.78,23.54,0,0,1167.04,0,0,4.64,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,11.32,1.72,0,0,0,0,0,0,0,0,0,29.67,0,0,0,0,0,0,0,1.98,48.93,0,0,0,0,0,0,0,0.8,3.1,60.07,0,0,0,0
 24-34,0,0,0,0,3.65,0,5.99,0,0.73,0,0,0,0,2.45,0,10.49,0,0,0,0,0.95,0.61,0,0.78,335,0,0,0,0,0,0,0,0,0,106.03,0,3.1,0,0
 36-46,0,0,0,0,29.37,0,19.71,0,1.14,0.71,1.05,0,0,0,0,12.51,0,0,0,0,0,0,0,1.23,865.54,0,2.43,0,0,0,0,0,0,0,218.39,0,1.08,0,0
 48-58,0,0,0,0,7.18,0,95.94,0,2.36,1.9,10.18,0,0,4.81,0,5.82,0,0,0,0,14.44,0,0,6.96,1693.83,0,1.07,0,0,0,0,6.1,0,0,351.03,0,2.33,0,2.34
 60-70,0,0,0,0,7.84,0,218.33,0,3.17,6.75,5.05,0.61,0,0,0,0.93,1.62,0,0,7.36,25.77,0,23.31,0.72,2172.87,0,0,0,0,0,1.33,0,0,0,622.7,0,0,0,2.65
 72-82,0,0,0.79,0,7.98,0.54,334.65,0,0,4.69,11.1,1.39,0,0.5,0,0,0,4.5,0,0,25.05,0,6.78,2.14,2152.7,0,0,0,0,0.71,2.51,0,0,0,461.43,3.21,6.29,0.85,0
 84-94,0,0,3.53,0,19.93,0,236.58,0.57,0.66,6.09,13.81,1.01,0,0,0.81,6.91,0,0,1.67,0,4.21,0,0.86,0,970.21,0,0,1.87,0,0,0,0,0,0,258.49,0,0.97,0,0
 96-106,0,0,0.81,0,8.56,0.72,175.87,0,1,0,15.82,0,0,0,1.28,0,0,0,0,0,11.65,0,0,1.06,837.37,0,0,0,0,0,0,0,0,0,155.28,0,0.96,0.61,0
108-118,0,0,2.01,0,9.11,0.69,203.07,0,0.52,2.09,11.98,0.5,0,0,0,0.81,0.42,0.51,0,0,19.77,0,0.97,0.64,872.23,0,0,0,0,1.19,5.06,0,0,0,87.08,0,2.88,1.7,6.17
120,0,0,0,0,0,1.35,247.44,0,0,0,22.08,0,0,0,0,0,1.01,0,0,0,11.28,0,0,4.82,1126.7,0,0,0,0,0,0,0,0,0,99.35,0,0,0,3.63
