stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.22,5.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.37,0,3.75,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.05,2.99,217.44,0,0,0,0,121.47,79.08,2.51,0,0,0
 24-34,0,1.53,0,0.79,30.57,0,1.71,0.65,0,0,0,0,0,0,1.31,0,0,0.71,0,0,27.58,36.34,26.23,0.64,1,0,8.88,69.23,52.55,5.42,0,6.26,0
 36-46,0,1.12,0,4.29,60.89,0,0,3.37,0,0,0,0,0,0,0,0,0,3.98,0,0,7.12,30.46,3.91,0,0,0,0,61.41,2.25,7.8,0,0,9.36
 48-58,0,0,0,14.26,43.97,0,0.81,0.85,0,0,0,0,0,0,0,0,1.33,0.46,0,2.27,3.72,29.79,1.38,0.41,4.77,0.45,0.38,41.29,0,7.2,0,0,8.54
 60-70,0,5.84,0,21.84,36.06,2.09,2.93,1.52,0,0,1.87,1.47,0,0,0,0,0,2.83,0,10.24,3.43,27.41,2.67,0,0,0,0,20.69,0,4.3,0,1.33,0
 72-82,0,0,1.07,7.49,16.21,0,0,1.92,0.61,0,0,0,0,0,0,0,0,4.83,0,0,1.09,23.99,0.5,0,0,0.8,0,9.38,0,0,0.51,1.29,0
 84-94,0,0,0,8.91,16.97,0,2.67,0,0,1.22,2,0,1.56,0,0,0,0,2.69,0.6,0,1.63,6.64,8.59,0,0,2.02,1.24,19.73,0,0,0,2.5,6.75
 96-106,0,0,6.11,18.67,16.27,0,0,0,0,0,0,0,1.41,0.74,0,0.65,0,21.87,0,0,0.58,51.92,0,0,0,1.94,5.73,7.62,0,0,0,1.52,0
108-118,0,1.26,0,14.97,10.97,0,0,11.28,0,0,0,0,0,0,0,0,0,24.45,0,0,10.85,17.48,1.87,0,0,0,0,16.16,0,0,0.54,2.45,1.78
120,0,0,0,24.18,25.13,0,0,0,0,0,0,0,0,0,0,4.16,0,3.76,0,0,0,15.58,0,0,0,0,4.52,8.61,0,8.42,0,3.89,0
