stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,otic,paraxial_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,41.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,38.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.77,0,16.82,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,26.28,0,4.58,0,0,0,0
 14-21,0,0,3.7,1.41,0,0,0,0,1.19,0,0.86,1.04,16.01,0.85,0.83,2.43,9.62,0,0
 24-34,0,0,0,0,0,0,1.06,1.21,0,0,0,0.6,5.08,0,0,0,7.47,0,0
 36-46,0,0,0,0,0,1.81,0,0,0,0,1.85,0,6.32,0,0,0,3.39,0,0
 48-58,0,0,0,0,0,0.42,0,1.21,0,0,2.86,0.48,7.64,0,0,0,0.84,0,0
 60-70,0,0,0,0,0,5.29,0.86,1.59,0,0,1.56,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.7,0,0.7,0,0,1.05,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.81,0,0,0,0,0,0,2.04,0,0,0,0,0,0.91
 96-106,0,0,0,0,0,0,0,2.19,0,0,2.38,0,0,0,0,0,0,0,0
108-118,0,0,0,0,5.56,0,0,0,0,0,1.86,0,0,0,0,0,0,0.6,0
120,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0
